INTRASOFT TECHNOLOGIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 8.56 , 16.42 , 19.34 , 21.39 , 16.03 , 18.57 , 31.05 , 28.43 , 11.99 , 9.54 , 7.13 , 7.59 , 7.22 
Expenses, 4.07 , 6.85 , 8.18 , 8.26 , 25.39 , 39.25 , 27.39 , 23.37 , 12.95 , 12.62 , 10.96 , 6.82 , 7.22 
Operating Profit, 4.49 , 9.57 , 11.16 , 13.13 , (9.36), (20.68), 3.66 , 5.06 , (0.96), (3.08), (3.83), 0.77 , -   
Other Income, 1.87 , 1.49 , 3.15 , 5.60 , 17.84 , 22.71 , 4.10 , 65.22 , 7.28 , 5.80 , 5.31 , -   , -   
Depreciation, 0.94 , 1.78 , 2.11 , 2.73 , 6.99 , 3.95 , 1.38 , 27.79 , 1.52 , 1.43 , 1.27 , 1.27 , 1.27 
Interest, 0.01 , 0.20 , 0.07 , 0.18 , 0.22 , 0.33 , 0.59 , 1.90 , 0.56 , 0.08 , 0.02 , 0.02 , 0.02 
Profit before tax, 5.41 , 9.08 , 12.13 , 15.82 , 1.25 , (2.24), 5.79 , 40.59 , 4.24 , 1.20 , 0.19 , (0.52), (1.29)
Tax, 0.18 , 0.19 , 2.12 , 4.89 , (1.82), (4.28), 0.78 , 0.85 , 0.30 , (0.05), (0.02),-11%,-11%
Net profit, 5.23 , 8.89 , 10.01 , 10.93 , 3.08 , 2.05 , 5.01 , 39.74 , 3.94 , 1.25 , 0.22 , (0.58), (1.43)
EPS, 4.85 , 8.06 , 6.79 , 7.42 , 2.09 , 1.39 , 3.40 , 26.98 , 2.67 , 0.85 , 0.15 , (0.39), (0.97)
Price to earning,  , 16.73 , 10.37 , 6.84 , 23.02 , 31.67 , 76.55 , 15.95 , 139.65 , 788.88 , 652.45 , 652.45 , 176.21 
Price, -   , 134.84 , 70.48 , 50.78 , 48.13 , 44.07 , 260.34 , 430.24 , 373.49 , 669.36 , 97.45 , (255.18), (170.57)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,18.56%,22.08%,13.45%,47.73%,71.71%,58.88%,7.42%,74.87%,236.00%,,,
OPM,52.45%,58.28%,57.70%,61.38%,0.00%,0.00%,11.79%,17.80%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,1.21%,-9.60%,-9.86%,-32.52%,-20.43%,-20.43%,-32.52%
,,,,,,OPM,25.96%,15.95%,8.76%,10.13%,0.00%,10.13%,0.00%
,,,,,,Price to Earning, 176.21 , 216.88 , 284.19 , 399.23 , 652.45 , 652.45 , 176.21 
