J B CHEMICALS & PHARMACEUTICALS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 16.87 , 16.87 , 16.90 , 16.94 , 16.94 , 16.95 , 16.96 , 16.96 , 16.96 , 16.71 
Reserves, 515.19 , 596.51 , 696.38 , 936.92 , 992.06 ," 1,030.87 ", 999.35 ," 1,205.74 "," 1,370.90 "," 1,436.67 "
Borrowings, 170.69 , 136.22 , 168.53 , 69.97 , 49.60 , 92.77 , 105.22 , 174.80 , 48.86 , 28.47 
Other Liabilities, 99.03 , 125.71 , 130.00 , 152.95 , 218.72 , 210.56 , 334.64 , 265.45 , 284.62 , 303.50 
Total, 801.78 , 875.31 ," 1,011.81 "," 1,176.78 "," 1,277.32 "," 1,351.15 "," 1,456.17 "," 1,662.95 "," 1,721.34 "," 1,785.35 "
,,,,,,,,,,
Net Block, 220.86 , 218.08 , 225.27 , 241.09 , 294.44 , 282.21 , 300.87 , 369.35 , 608.69 , 569.91 
Capital Work in Progress, 6.62 , -   , 3.67 , 38.92 , 4.73 , 46.32 , 55.17 , 134.89 , 3.76 , 17.40 
Investments, 45.59 , 62.46 , 123.29 , 337.71 , 433.66 , 536.11 , 597.50 , 611.67 , 543.77 , 566.69 
Other Assets, 528.71 , 594.77 , 659.58 , 559.06 , 544.49 , 486.51 , 502.63 , 547.04 , 565.12 , 631.35 
Total, 801.78 , 875.31 ," 1,011.81 "," 1,176.78 "," 1,277.32 "," 1,351.15 "," 1,456.17 "," 1,662.95 "," 1,721.34 "," 1,785.35 "
,,,,,,,,,,
Working Capital, 429.68 , 469.06 , 529.58 , 406.11 , 325.77 , 275.95 , 167.99 , 281.59 , 280.50 , 327.85 
Debtors, 374.50 , 407.27 , 385.45 , 131.21 , 194.64 , 248.05 , 248.49 , 265.67 , 265.10 , 300.54 
Inventory, 55.18 , 56.41 , 81.78 , 90.80 , 89.89 , 111.23 , 128.47 , 133.29 , 159.96 , 175.81 
,,,,,,,,,,
Debtor Days, 189.54 , 222.50 , 174.40 , 69.77 , 87.02 , 94.65 , 85.45 , 84.78 , 82.37 , 87.75 
Inventory Turnover, 13.07 , 11.84 , 9.86 , 7.56 , 9.08 , 8.60 , 8.26 , 8.58 , 7.34 , 7.11 
,,,,,,,,,,
Return on Equity,15%,16%,17%,67%,8%,7%,11%,15%,12%,9%
Return on Capital Emp,,18%,19%,87%,11%,9%,15%,19%,16%,13%
,,,,,,,,,,
