J K CEMENTS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 69.93 , 69.93 , 69.93 , 69.93 , 69.93 , 69.93 , 69.93 , 69.93 , 69.93 , 69.93 
Reserves," 1,116.13 "," 1,283.82 "," 1,329.11 "," 1,459.08 "," 1,627.46 "," 1,688.53 "," 1,576.61 "," 1,620.37 "," 1,801.60 "," 2,077.42 "
Borrowings, 564.40 ," 1,073.72 "," 1,319.14 "," 1,217.65 "," 1,271.78 "," 2,320.47 "," 2,608.66 "," 2,642.71 "," 2,642.84 "," 2,353.67 "
Other Liabilities, 426.43 , 574.56 , 713.63 , 858.35 , 964.93 ," 1,061.73 "," 1,309.15 "," 1,571.19 "," 1,650.40 "," 1,814.35 "
Total," 2,176.89 "," 3,002.03 "," 3,431.81 "," 3,605.01 "," 3,934.10 "," 5,140.66 "," 5,564.35 "," 5,904.20 "," 6,164.77 "," 6,315.37 "
,,,,,,,,,,
Net Block," 1,215.75 "," 2,052.21 "," 2,296.48 "," 2,315.82 "," 2,364.28 "," 2,312.56 "," 3,337.96 "," 3,522.56 "," 3,680.03 "," 3,596.69 "
Capital Work in Progress, 35.06 , 225.28 , 98.44 , 85.05 , 107.51 ," 1,101.99 ", 191.18 , 152.40 , 104.82 , 87.81 
Investments, 10.74 , 5.99 , 5.84 , 10.84 , 169.30 , 299.51 , 314.51 , 436.64 , 535.64 , 634.52 
Other Assets, 915.34 , 718.55 ," 1,031.05 "," 1,193.30 "," 1,293.01 "," 1,426.60 "," 1,720.70 "," 1,792.60 "," 1,844.28 "," 1,996.35 "
Total," 2,176.89 "," 3,002.03 "," 3,431.81 "," 3,605.01 "," 3,934.10 "," 5,140.66 "," 5,564.35 "," 5,904.20 "," 6,164.77 "," 6,315.37 "
,,,,,,,,,,
Working Capital, 488.91 , 143.99 , 317.42 , 334.95 , 328.08 , 364.87 , 411.55 , 221.41 , 193.88 , 182.00 
Debtors, 53.04 , 81.87 , 60.76 , 83.72 , 115.27 , 111.71 , 139.40 , 165.69 , 148.13 , 187.97 
Inventory, 136.13 , 237.62 , 321.02 , 362.83 , 461.54 , 542.34 , 510.17 , 428.93 , 498.07 , 531.61 
,,,,,,,,,,
Debtor Days, 12.94 , 16.36 , 10.60 , 12.01 , 14.47 , 14.61 , 15.19 , 14.66 , 14.44 , 14.95 
Inventory Turnover, 10.99 , 7.69 , 6.52 , 7.01 , 6.30 , 5.15 , 6.57 , 9.62 , 7.52 , 8.63 
,,,,,,,,,,
Return on Equity,12%,17%,5%,12%,14%,6%,10%,6%,11%,16%
Return on Capital Emp,,18%,8%,16%,17%,8%,9%,10%,14%,15%
,,,,,,,,,,
