J KUMAR INFRAPROJECTS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 406.46 , 764.24 , 949.19 , 931.56 ," 1,000.68 "," 1,186.78 "," 1,343.18 "," 1,408.63 "," 1,604.26 "," 2,050.72 "," 2,721.42 "," 2,721.42 "," 2,367.31 "
Expenses, 345.85 , 635.10 , 805.74 , 781.60 , 833.31 , 980.96 ," 1,092.63 "," 1,160.34 "," 1,353.67 "," 1,729.51 "," 2,299.74 "," 2,280.67 "," 2,000.50 "
Operating Profit, 60.61 , 129.14 , 143.45 , 149.96 , 167.37 , 205.82 , 250.55 , 248.29 , 250.59 , 321.21 , 421.68 , 440.75 , 366.81 
Other Income, 6.94 , 5.24 , 7.08 , 6.72 , 8.85 , 10.81 , 13.05 , 17.47 , 31.10 , 28.53 , 28.38 , -   , -   
Depreciation, 10.67 , 14.47 , 15.85 , 18.88 , 24.41 , 34.76 , 47.35 , 51.21 , 55.65 , 72.74 , 98.65 , 98.65 , 98.65 
Interest, 7.98 , 14.81 , 27.71 , 36.62 , 40.64 , 57.64 , 76.76 , 61.65 , 66.20 , 70.34 , 84.35 , 84.35 , 84.35 
Profit before tax, 48.90 , 105.10 , 106.97 , 101.18 , 111.18 , 124.23 , 139.49 , 152.89 , 159.85 , 206.66 , 267.06 , 257.75 , 183.81 
Tax, 15.97 , 35.13 , 33.05 , 33.11 , 35.44 , 40.18 , 45.10 , 54.39 , 52.53 , 70.11 , 92.52 ,35%,35%
Net profit, 32.93 , 69.97 , 73.92 , 68.07 , 75.74 , 84.05 , 94.39 , 98.50 , 107.32 , 136.55 , 174.52 , 168.46 , 120.13 
EPS, 7.94 , 12.58 , 13.29 , 12.24 , 13.62 , 15.12 , 14.64 , 13.02 , 14.18 , 18.05 , 23.06 , 22.26 , 15.88 
Price to earning, 3.43 , 7.99 , 5.38 , 7.00 , 7.19 , 6.18 , 23.09 , 20.04 , 18.48 , 16.00 , 7.68 , 15.55 , 7.68 
Price, 27.27 , 100.58 , 71.51 , 85.71 , 97.91 , 93.36 , 338.18 , 260.83 , 262.14 , 288.76 , 177.05 , 346.17 , 121.87 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,12.57%,8.93%,8.46%,9.18%,12.85%,12.41%,13.66%,15.36%,14.10%,11.08%,,,
OPM,14.91%,16.90%,15.11%,16.10%,16.73%,17.34%,18.65%,17.63%,15.62%,15.66%,15.49%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,19.70%,11.63%,15.43%,15.15%,32.71%,32.71%,11.63%
,,,,,,OPM,16.55%,16.73%,16.81%,16.20%,15.49%,16.20%,15.49%
,,,,,,Price to Earning, 11.13 , 13.21 , 15.24 , 15.55 , 7.68 , 15.55 , 7.68 
