JBM AUTO LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 216.36 , 237.80 , 364.85 , 395.87 , 452.17 , 565.81 , 600.10 , 566.95 , 698.06 , 765.78 , 920.02 , 920.02 , 843.67 
Expenses, 192.21 , 208.99 , 324.82 , 349.76 , 401.01 , 502.50 , 534.20 , 503.98 , 621.68 , 677.18 , 813.07 , 813.07 , 749.41 
Operating Profit, 24.15 , 28.81 , 40.03 , 46.11 , 51.16 , 63.31 , 65.90 , 62.97 , 76.38 , 88.60 , 106.95 , 106.95 , 94.26 
Other Income, 12.37 , 1.45 , 0.24 , 1.42 , 7.20 , 6.48 , 10.41 , 11.22 , 25.87 , 10.81 , 17.00 , -   , -   
Depreciation, 5.96 , 7.46 , 8.18 , 11.33 , 11.83 , 14.36 , 15.91 , 21.01 , 23.08 , 25.04 , 27.98 , 27.98 , 27.98 
Interest, 11.97 , 10.56 , 13.37 , 24.78 , 25.95 , 21.54 , 21.22 , 28.41 , 30.22 , 27.00 , 30.88 , 30.88 , 30.88 
Profit before tax, 20.07 , 12.24 , 18.72 , 11.42 , 20.59 , 33.90 , 39.18 , 24.76 , 48.95 , 47.37 , 65.09 , 48.09 , 35.40 
Tax, 7.22 , 4.00 , 5.76 , 4.27 , 6.84 , 9.59 , 5.57 , 0.14 , 9.19 , 15.27 , 22.72 ,35%,35%
Net profit, 12.85 , 8.24 , 12.96 , 7.16 , 13.75 , 24.31 , 33.60 , 24.63 , 39.76 , 32.10 , 42.37 , 31.30 , 23.04 
EPS, 3.15 , 2.02 , 3.18 , 1.76 , 3.37 , 5.96 , 8.24 , 6.04 , 9.75 , 7.87 , 10.39 , 7.67 , 5.65 
Price to earning, 1.94 , 8.94 , 5.05 , 8.06 , 4.40 , 6.51 , 28.36 , 24.41 , 28.29 , 55.06 , 25.26 , 33.25 , 17.84 
Price, 6.10 , 18.05 , 16.05 , 14.15 , 14.85 , 38.76 , 233.62 , 147.37 , 275.71 , 433.25 , 262.35 , 255.18 , 100.79 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,18.57%,15.74%,21.37%,14.84%,12.59%,30.36%,28.99%,20.52%,25.42%,,,
OPM,11.16%,12.12%,10.97%,11.65%,11.31%,11.19%,10.98%,11.11%,10.94%,11.57%,11.62%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,15.08%,11.17%,11.11%,8.47%,20.14%,20.14%,8.47%
,,,,,,OPM,11.26%,11.24%,11.17%,11.22%,11.62%,11.62%,11.17%
,,,,,,Price to Earning, 17.84 , 22.54 , 27.98 , 33.25 , 25.26 , 33.25 , 17.84 
