JHS SVENDGAARD LABORATORIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 27.84 , 51.08 , 85.42 , 92.78 , 56.06 , 35.28 , 55.10 , 99.62 , 104.18 , 138.21 , 119.66 , 187.79 , 146.72 
Expenses, 20.53 , 37.48 , 68.85 , 81.34 , 44.57 , 39.87 , 113.60 , 93.56 , 96.62 , 123.97 , 112.24 , 172.49 , 137.63 
Operating Profit, 7.31 , 13.60 , 16.57 , 11.44 , 11.49 , (4.59), (58.50), 6.06 , 7.56 , 14.24 , 7.42 , 15.30 , 9.10 
Other Income, 0.29 , 0.12 , 1.65 , 0.65 , 12.43 , (1.86), 48.68 , (17.30), 0.40 , 32.22 , 5.77 , -   , -   
Depreciation, 3.04 , 4.13 , 6.94 , 7.37 , 13.62 , 14.70 , 12.35 , 10.49 , 6.36 , 6.81 , 6.98 , 6.98 , 6.98 
Interest, 2.93 , 2.98 , 3.71 , 6.25 , 10.44 , 14.14 , 0.14 , 0.36 , 0.62 , 0.74 , 0.99 , 0.99 , 0.99 
Profit before tax, 1.63 , 6.61 , 7.57 , (1.50), (0.14), (35.28), (22.10), (21.63), 5.16 , 41.09 , 5.22 , 7.33 , 1.13 
Tax, 0.11 , 0.91 , 1.56 , 2.15 , 4.07 , (6.49), 0.04 , -   , (16.80), 13.05 , 1.61 ,31%,31%
Net profit, 1.52 , 5.70 , 6.01 , (3.64), (4.21), (28.80), (22.14), (21.63), 21.96 , 28.05 , 3.59 , 5.07 , 0.78 
EPS, 1.18 , 3.94 , 4.13 , (2.07), (1.75), (11.95), (9.19), (5.75), 4.98 , 4.61 , 0.81 , 1.14 , 0.18 
Price to earning, 13.22 , 14.56 , 19.42 , (19.50), (7.94), (0.59), (0.93), (4.82), 9.35 , 13.16 , 29.53 , 29.53 , 16.54 
Price, 15.58 , 57.42 , 80.22 , 40.45 , 13.86 , 7.04 , 8.56 , 27.68 , 46.53 , 60.61 , 23.80 , 33.59 , 2.90 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,21.05%,12.63%,18.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,26.26%,26.62%,19.40%,12.33%,20.50%,0.00%,0.00%,6.08%,7.26%,10.30%,6.20%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,19.49%,7.12%,19.78%,35.87%,32.66%,35.87%,7.12%
,,,,,,OPM,11.84%,8.74%,6.44%,8.15%,6.20%,8.15%,6.20%
,,,,,,Price to Earning, 16.54 , 17.34 , 17.34 , 17.34 , 29.53 , 29.53 , 16.54 
