JIK INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Mar-10,Jun-11,Jun-12,Jun-13,Jun-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 29.54 , (9.39), (50.39), 2.86 , 43.86 , 0.08 , 0.02 , (0.40), (0.95), (1.48)
Cash from Investing Activity, (0.01), (10.71), 2.07 , -   , (43.86), -   , -   , -   , -   , (0.06)
Cash from Financing Activity, (30.03), 20.17 , 48.26 , (2.77), (0.12), (0.07), -   , 0.37 , 0.97 , 1.52 
Net Cash Flow, (0.50), 0.07 , (0.06), 0.09 , (0.12), 0.01 , 0.02 , (0.03), 0.02 , (0.02)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
