JITF INFRA LOGISTICS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , 0.05 , 0.05 , 0.05 , 0.05 , 0.05 , -   , 5.14 , 5.14 
Reserves, -   , -   , -   , (0.01), (0.01), (0.02), (0.03), 312.35 , 313.91 , 314.18 
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , 1.16 , 1.91 
Other Liabilities, -   , -   , -   , 0.29 , 0.28 , 0.01 , 0.01 , 6.31 , 1.32 , 0.44 
Total, -   , -   , 0.05 , 0.33 , 0.32 , 0.04 , 0.03 , 318.66 , 321.53 , 321.67 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.01 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, -   , -   , 0.04 , 0.05 , 0.05 , -   , -   , 288.66 , 320.83 , 320.83 
Other Assets, -   , -   , 0.01 , 0.28 , 0.27 , 0.04 , 0.03 , 30.00 , 0.70 , 0.83 
Total, -   , -   , 0.05 , 0.33 , 0.32 , 0.04 , 0.03 , 318.66 , 321.53 , 321.67 
,,,,,,,,,,
Working Capital, -   , -   , 0.01 , (0.01), (0.01), 0.03 , 0.02 , 23.69 , (0.62), 0.39 
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , 0.60 , -   
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , 413.21 , -   
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,,0%,0%,0%,0%,-50%,1%,0%,0%
Return on Capital Emp,,,0%,0%,0%,0%,-40%,2%,1%,0%
,,,,,,,,,,
