JITF INFRA LOGISTICS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , (0.27), 0.26 , -   , -   , (0.02), (1.09), (0.57)
Cash from Investing Activity, -   , -   , -   , -   , -   , 0.05 , -   , -   , -   , (0.01)
Cash from Financing Activity, -   , -   , -   , 0.29 , (0.01), (0.28), -   , -   , 1.15 , 0.53 
Net Cash Flow, -   , -   , -   , 0.02 , 0.25 , (0.23), -   , (0.02), 0.06 , (0.05)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
