JM FINANCIAL LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 74.97 , 74.97 , 74.97 , 74.99 , 75.16 , 75.53 , 78.37 , 78.90 , 79.45 , 83.79 
Reserves," 1,571.40 "," 1,578.83 "," 1,542.83 "," 1,563.02 "," 1,544.29 "," 1,543.19 "," 1,564.81 "," 1,576.12 "," 1,646.07 "," 2,294.24 "
Borrowings, 0.28 , 0.30 , -   , -   , 0.07 , 0.47 , 122.26 , 426.39 , 206.58 , 0.86 
Other Liabilities, 134.41 , 187.95 , 166.14 , 164.52 , 153.28 , 171.78 , 183.44 , 190.98 , 121.55 , 179.49 
Total," 1,781.06 "," 1,842.05 "," 1,783.94 "," 1,802.53 "," 1,772.80 "," 1,790.97 "," 1,948.88 "," 2,272.39 "," 2,053.65 "," 2,558.38 "
,,,,,,,,,,
Net Block, 1.71 , 2.73 , 2.15 , 2.28 , 1.39 , 1.54 , 2.05 , 2.86 , 2.25 , 5.57 
Capital Work in Progress, -   , 0.11 , -   , 0.03 , -   , -   , -   , -   , -   , -   
Investments," 1,524.08 "," 1,556.01 "," 1,507.96 "," 1,507.37 "," 1,470.45 "," 1,313.42 "," 1,661.61 "," 1,756.60 "," 1,769.15 "," 2,283.03 "
Other Assets, 255.27 , 283.20 , 273.83 , 292.85 , 300.96 , 476.01 , 285.22 , 512.93 , 282.25 , 269.78 
Total," 1,781.06 "," 1,842.05 "," 1,783.94 "," 1,802.53 "," 1,772.80 "," 1,790.97 "," 1,948.88 "," 2,272.39 "," 2,053.65 "," 2,558.38 "
,,,,,,,,,,
Working Capital, 120.86 , 95.25 , 107.69 , 128.33 , 147.68 , 304.23 , 101.78 , 321.95 , 160.70 , 90.29 
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , -   , 24.03 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , -   , 36.03 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,0%,3%,1%,3%,3%,4%,5%,7%,6%,6%
Return on Capital Emp,,2%,1%,3%,3%,5%,5%,7%,7%,9%
,,,,,,,,,,
