JMT AUTO LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 28.39 , 38.59 , 49.85 , 55.18 , 47.02 , 37.68 , 13.80 , 52.40 , 28.89 , 37.88 
Cash from Investing Activity, (24.70), (17.59), (26.21), (51.55), (20.31), (11.73), (9.19), (11.41), (9.01), (6.26)
Cash from Financing Activity, (5.80), (19.30), (22.99), (2.37), (30.19), (7.40), (23.83), (41.71), (19.71), (30.89)
Net Cash Flow, (2.11), 1.70 , 0.65 , 1.26 , (3.48), 18.55 , (19.22), (0.71), 0.16 , 0.73 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
