JAIPRAKASH ASSOCIATES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 5,792.59 "," 10,088.91 "," 13,092.79 "," 12,853.12 "," 13,335.47 "," 13,116.11 "," 11,050.31 "," 8,655.96 "," 6,219.32 "," 6,049.04 "," 6,718.66 "," 6,718.66 "," 4,826.46 "
Expenses," 4,007.20 "," 7,685.86 "," 9,966.01 "," 9,362.73 "," 9,933.73 "," 9,745.59 "," 9,015.68 "," 7,884.83 "," 6,235.17 "," 5,503.08 "," 6,024.20 "," 6,024.20 "," 4,522.66 "
Operating Profit," 1,785.39 "," 2,403.05 "," 3,126.78 "," 3,490.39 "," 3,401.74 "," 3,370.52 "," 2,034.63 ", 771.13 , (15.85), 545.96 , 694.46 , 694.46 , 303.80 
Other Income, 356.89 ," 1,582.87 ", 739.92 , 270.58 , 178.94 , 606.19 , 645.10 , (89.65), (328.35)," 1,321.61 ", (92.21), -   , -   
Depreciation, 308.97 , 456.06 , 609.38 , 614.15 , 726.13 , 773.55 , 948.89 , 913.71 , 878.20 , 506.75 , 393.91 , 393.91 , 393.91 
Interest, 582.33 ," 1,148.19 "," 1,503.21 "," 1,832.48 "," 2,103.80 "," 2,863.01 "," 3,562.83 "," 3,757.24 "," 3,623.05 "," 1,009.11 ", 710.49 , 710.49 , 710.49 
Profit before tax," 1,250.98 "," 2,381.67 "," 1,754.11 "," 1,314.34 ", 750.75 , 340.15 ," (1,831.99)"," (3,989.47)"," (4,845.45)", 351.71 , (502.15), (409.94), (800.60)
Tax, 353.97 , 673.31 , 586.33 , 287.96 , 249.47 , (73.74), (553.25)," (1,168.86)", (483.88), -   , -   ,0%,0%
Net profit, 897.01 ," 1,708.36 "," 1,167.78 "," 1,026.38 ", 501.28 , 413.89 ," (1,278.74)"," (2,820.61)"," (4,361.57)", 351.71 , (502.15), (409.94), (800.60)
EPS, 4.74 , 8.04 , 5.49 , 4.83 , 2.26 , 1.87 , (5.26), (11.60), (17.93), 1.45 , (2.06), (1.69), (3.29)
Price to earning, 15.91 , 18.76 , 17.69 , 16.34 , 31.51 , 30.02 , (4.58), (0.69), (0.74), 13.90 , -   , 13.90 , -   
Price, 75.48 , 150.84 , 97.15 , 78.86 , 71.18 , 55.99 , 24.09 , 8.01 , 13.18 , 20.10 , 5.05 , (23.43), -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,13.20%,13.43%,14.57%,10.36%,22.13%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,30.82%,23.82%,23.88%,27.16%,25.51%,25.70%,18.41%,8.91%,0.00%,9.03%,10.34%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,0.48%,-10.44%,-14.62%,-18.20%,11.07%,11.07%,-18.20%
,,,,,,OPM,20.88%,19.10%,14.91%,6.29%,10.34%,10.34%,6.29%
,,,,,,Price to Earning, 20.59 , 22.94 , 21.96 , 13.90 , -   , 13.90 , -   
