JAI CORP LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 375.64 , 409.53 , 483.22 , 617.91 , 634.34 , 703.18 , 684.49 , 622.16 , 655.41 , 575.98 , 623.43 , 623.43 , 541.12 
Expenses, 339.50 , 360.46 , 423.75 , 561.48 , 561.70 , 610.93 , 598.91 , 542.52 , 570.45 , 481.70 , 539.72 , 536.36 , 474.40 
Operating Profit, 36.14 , 49.07 , 59.47 , 56.43 , 72.64 , 92.25 , 85.58 , 79.64 , 84.96 , 94.28 , 83.71 , 87.07 , 66.72 
Other Income, 25.59 , 48.91 , 75.92 , 101.57 , 54.81 , 42.84 , 23.09 , 35.20 , 15.26 , 16.31 , 10.01 , -   , -   
Depreciation, 15.32 , 16.28 , 16.90 , 17.30 , 18.02 , 18.23 , 22.53 , 17.70 , 16.44 , 15.36 , 14.63 , 14.63 , 14.63 
Interest, 4.64 , 2.54 , 1.80 , 1.11 , 0.73 , 0.17 , 0.42 , 82.62 , 77.67 , 52.31 , 33.85 , 33.85 , 33.85 
Profit before tax, 41.77 , 79.16 , 116.69 , 139.59 , 108.69 , 116.68 , 85.72 , 14.50 , 6.10 , 42.92 , 45.24 , 38.59 , 18.24 
Tax, 13.52 , 18.09 , 24.55 , 40.66 , 33.81 , 38.49 , 27.38 , 15.28 , 20.62 , 18.50 , 23.18 ,51%,51%
Net profit, 28.25 , 61.07 , 92.14 , 98.93 , 74.89 , 78.18 , 58.35 , (0.78), (14.51), 24.41 , 22.06 , 18.82 , 8.90 
EPS, 1.58 , 3.42 , 5.16 , 5.54 , 4.20 , 4.38 , 3.27 , (0.04), (0.81), 1.37 , 1.24 , 1.05 , 0.50 
Price to earning, 98.11 , 79.56 , 35.17 , 14.35 , 14.49 , 16.72 , 18.58 ," (1,597.14)", (101.61), 115.18 , 100.91 , 108.05 , 46.70 
Price, 155.28 , 272.20 , 181.54 , 79.54 , 60.79 , 73.23 , 60.73 , 69.79 , 82.60 , 157.51 , 124.75 , 113.94 , 23.28 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,31.61%,14.62%,9.69%,9.03%,11.92%,11.42%,15.30%,0.00%,0.00%,36.58%,,,
OPM,9.62%,11.98%,12.31%,9.13%,11.45%,13.12%,12.50%,12.80%,12.96%,16.37%,13.43%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,4.86%,2.54%,-1.91%,-5.59%,8.24%,8.24%,-5.59%
,,,,,,OPM,12.33%,12.59%,13.47%,13.97%,13.43%,13.97%,12.33%
,,,,,,Price to Earning, 54.78 , 46.70 , 62.85 , 108.05 , 100.91 , 108.05 , 46.70 
