JAIN STUDIOS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 14.39 , 14.39 , 14.39 , 14.39 , 25.44 , 28.59 , 28.59 , 28.59 , 28.59 , 28.59 
Reserves, 14.28 , 12.49 , 12.99 , 9.73 , 9.88 , 11.79 , 9.88 , 9.02 , 9.45 , 8.27 
Borrowings, 22.59 , 25.00 , 15.29 , 10.37 , 3.65 , -   , -   , -   , -   , -   
Other Liabilities, 10.52 , 10.30 , 10.51 , 18.96 , 19.10 , 19.35 , 32.69 , 37.37 , 35.94 , 34.75 
Total, 61.78 , 62.18 , 53.18 , 53.45 , 58.07 , 59.73 , 71.16 , 74.98 , 73.98 , 71.61 
,,,,,,,,,,
Net Block, 20.28 , 19.31 , 16.92 , 15.97 , 15.13 , 14.24 , 13.34 , 12.45 , 11.63 , 10.87 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, 6.36 , 6.36 , 6.36 , 6.36 , 6.36 , 6.36 , 6.36 , 5.20 , 5.20 , 5.20 
Other Assets, 35.14 , 36.51 , 29.90 , 31.12 , 36.58 , 39.13 , 51.46 , 57.33 , 57.15 , 55.54 
Total, 61.78 , 62.18 , 53.18 , 53.45 , 58.07 , 59.73 , 71.16 , 74.98 , 73.98 , 71.61 
,,,,,,,,,,
Working Capital, 24.62 , 26.21 , 19.39 , 12.16 , 17.48 , 19.78 , 18.77 , 19.96 , 21.21 , 20.79 
Debtors, 19.23 , 20.85 , 15.66 , 15.13 , 18.96 , 23.37 , 37.67 , 42.05 , 41.21 , 38.41 
Inventory, 1.13 , 1.36 , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, 643.35 ," 1,151.32 ", 515.88 , 443.21 , 387.48 , 352.48 , 595.48 ," 1,500.32 "," 1,827.66 "," 4,436.60 "
Inventory Turnover, 9.65 , 4.86 , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,-12%,-7%,2%,-14%,-4%,1%,-5%,-2%,1%,-3%
Return on Capital Emp,,0%,6%,-10%,-1%,3%,-1%,-4%,-1%,-5%
,,,,,,,,,,
