JAY BHARAT MARUTI LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 71.52 , 75.51 , 59.62 , 72.36 , 65.95 , 107.02 , 88.37 , 95.11 , 57.55 , 208.93 
Cash from Investing Activity, (65.70), (47.84), (98.09), (115.36), (78.23), (76.44), (20.86), (52.86), (160.28), (225.51)
Cash from Financing Activity, (6.67), (27.06), 37.97 , 44.09 , 13.10 , (32.23), (67.07), (41.66), 103.11 , 16.97 
Net Cash Flow, (0.85), 0.61 , (0.50), 1.09 , 0.82 , (1.65), 0.45 , 0.59 , 0.39 , 0.39 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
