JAY SHREE TEA & INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 22.75 , 30.87 , (32.62), 75.17 , 60.77 , 63.04 , 61.84 , 58.96 , 16.13 , 45.83 
Cash from Investing Activity, (22.96), (63.16), (72.02), (48.73), 45.23 , (26.77), 25.16 , (28.69), (16.46), (51.96)
Cash from Financing Activity, (22.32), 92.30 , 90.90 , (66.04), (53.85), 16.12 , (118.41), (101.88), (4.42), 6.95 
Net Cash Flow, (22.53), 60.01 , (13.74), (39.60), 52.15 , 52.39 , (31.42), (71.61), (4.75), 0.82 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
