JINDAL POLY FILMS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 265.96 , 266.86 , 442.01 , 291.09 , 88.24 , 379.74 , 82.57 , 268.73 , 300.56 , 288.23 
Cash from Investing Activity, (370.33), (184.09), (462.84), (235.48), (88.26), (93.68), (264.19), (442.86), (193.85), (113.14)
Cash from Financing Activity, 222.91 , (119.02), (46.17), (62.52), (6.51), (244.78), 140.26 , 165.41 , (98.88), (157.89)
Net Cash Flow, 118.54 , (36.25), (67.00), (6.91), (6.53), 41.28 , (41.35), (8.72), 7.83 , 17.20 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
