JINDAL POLY INVESTMENT & FINANCE COMPANY LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , 24.72 , 8.12 , 0.35 , 0.08 , 0.06 , 0.09 , -   , 0.14 , 0.09 
Expenses, -   , -   , -   , -   , 0.10 , 0.34 , 0.54 , 0.68 , 0.56 , 0.57 , 2.28 , 0.14 , 0.09 
Operating Profit, -   , -   , -   , -   , 24.62 , 7.78 , (0.19), (0.60), (0.50), (0.48), (2.28), -   , -   
Other Income, -   , -   , -   , -   , -   , -   , 0.04 , -   , -   , (157.70), (157.60), -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Interest, -   , -   , -   , -   , -   , 0.01 , -   , -   , -   , -   , -   , -   , -   
Profit before tax, -   , -   , -   , -   , 24.62 , 7.78 , (0.15), (0.59), (0.50), (158.20), (159.88), -   , -   
Tax, -   , -   , -   , -   , 0.52 , 0.40 , 0.01 , 0.03 , (0.15), 0.16 , 0.27 ,0%,0%
Net profit, -   , -   , -   , -   , 24.10 , 7.38 , (0.16), (0.63), (0.34), (158.35), (160.14), -   , -   
EPS, -   , -   , -   , -   ," 4,820.00 ", 7.02 , (0.15), (0.60), (0.32), (150.64), (152.36), -   , -   
Price to earning,  ,  ,  ,  ,  , 11.88 , (607.94), (137.51), (298.69), (0.39), -   , -   , -   
Price, -   , -   , -   , -   , -   , 83.44 , 92.53 , 82.41 , 96.61 , 58.99 , 30.75 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,99.60%,95.81%,0.00%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,-67.47%,-36.41%,50.00%,50.00%,-67.47%
,,,,,,OPM,96.95%,96.95%,89.43%,0.00%,0.00%,0.00%,0.00%
,,,,,,Price to Earning, 11.88 , 11.88 , 11.88 ,  , -   , -   , -   
