JINDAL STAINLESS (HISAR) LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , 453.23 , 844.18 , 656.32 ," 1,443.92 "
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , 3.65 ," (1,387.85)"," (1,792.59)", (457.38)
Cash from Financing Activity, -   , -   , -   , -   , -   , 0.01 , (454.74), 556.56 ," 1,128.23 ", (987.24)
Net Cash Flow, -   , -   , -   , -   , -   , 0.01 , 2.14 , 12.89 , (8.04), (0.70)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
