JINDAL STAINLESS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity," 1,128.93 ", 29.72 , 348.40 , 503.92 , 104.80 , 883.85 , 421.13 , 765.50 ," 5,182.24 "," 1,427.18 "
Cash from Investing Activity," (1,755.63)"," (1,570.23)"," (1,318.91)", (788.87), (20.74), (89.29), 20.47 ," 1,050.16 ", (5.25), (183.71)
Cash from Financing Activity, 588.34 ," 1,570.79 ", 612.39 , 123.79 , (161.78), (836.22), (449.11)," (1,786.61)"," (5,198.49)"," (1,258.18)"
Net Cash Flow, (38.36), 30.28 , (358.12), (161.16), (77.72), (41.66), (7.51), 29.05 , (21.50), (14.71)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
