JUST DIAL LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 85.92 , 130.91 , 183.93 , 262.06 , 362.77 , 461.29 , 589.80 , 667.66 , 718.61 , 781.77 , 891.50 , 891.50 , 869.56 
Expenses, 77.98 , 100.53 , 138.55 , 193.92 , 263.57 , 319.09 , 424.01 , 523.46 , 609.05 , 617.35 , 662.57 , 662.57 , 701.84 
Operating Profit, 7.94 , 30.38 , 45.38 , 68.14 , 99.20 , 142.20 , 165.79 , 144.20 , 109.56 , 164.42 , 228.93 , 228.93 , 167.72 
Other Income, 5.89 , 3.85 , 3.73 , 13.31 , 13.64 , 39.95 , 48.86 , 80.03 , 87.06 , 65.86 , 92.96 , -   , -   
Depreciation, 3.84 , 5.00 , 6.79 , 9.02 , 14.40 , 17.29 , 24.10 , 31.10 , 40.14 , 36.42 , 33.65 , 33.65 , 33.65 
Interest, 0.01 , -   , 0.03 , 0.92 , -   , -   , -   , -   , -   , -   , 0.13 , 0.13 , 0.13 
Profit before tax, 9.98 , 29.23 , 42.29 , 71.51 , 98.43 , 164.86 , 190.54 , 193.13 , 156.48 , 193.86 , 288.11 , 195.15 , 133.94 
Tax, 2.44 , 9.90 , 13.47 , 20.93 , 29.97 , 44.25 , 51.65 , 50.39 , 35.14 , 50.68 , 81.31 ,28%,28%
Net profit, 7.54 , 19.33 , 28.82 , 50.58 , 68.46 , 120.61 , 138.89 , 142.74 , 121.34 , 143.18 , 206.80 , 140.08 , 96.14 
EPS, 6.29 , 16.13 , 4.57 , 8.02 , 9.85 , 17.19 , 19.70 , 20.55 , 17.45 , 21.25 , 31.93 , 21.63 , 14.85 
Price to earning,  ,  ,  ,  ,  , 78.81 , 61.58 , 39.94 , 29.91 , 21.42 , 21.51 , 28.19 , 21.51 
Price, -   , -   , -   , -   , -   ," 1,354.98 "," 1,213.20 ", 820.52 , 521.86 , 455.17 , 686.85 , 609.84 , 319.32 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,11.63%,10.15%,0.00%,0.00%,0.00%,,,
OPM,9.24%,23.21%,24.67%,26.00%,27.35%,30.83%,28.11%,21.60%,15.25%,21.03%,25.68%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,27.81%,22.96%,16.60%,9.85%,14.04%,14.04%,9.85%
,,,,,,OPM,23.02%,23.24%,22.56%,19.29%,25.68%,25.68%,19.29%
,,,,,,Price to Earning, 42.19 , 42.19 , 42.19 , 28.19 , 21.51 , 28.19 , 21.51 
