K E C INTERNATIONAL LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 3,427.10 "," 3,877.24 "," 3,965.12 "," 4,604.34 "," 5,592.07 "," 6,558.77 "," 6,592.09 "," 7,690.42 "," 7,566.44 "," 9,037.39 "," 10,117.80 "," 10,794.30 "," 10,056.90 "
Expenses," 3,070.63 "," 3,429.06 "," 3,540.47 "," 4,214.80 "," 5,298.16 "," 6,122.55 "," 6,203.59 "," 6,927.73 "," 6,764.48 "," 8,042.95 "," 9,031.06 "," 9,634.90 "," 9,198.32 "
Operating Profit, 356.47 , 448.18 , 424.65 , 389.54 , 293.91 , 436.22 , 388.50 , 762.69 , 801.96 , 994.44 ," 1,086.74 "," 1,159.40 ", 858.58 
Other Income, 1.97 , 8.25 , (4.39), 85.13 , 20.64 , 67.60 , 177.41 , 15.58 , 21.99 , 21.82 , 38.12 , -   , -   
Depreciation, 22.75 , 26.24 , 34.49 , 36.05 , 43.06 , 55.42 , 70.40 , 118.01 , 115.39 , 95.43 , 105.52 , 105.52 , 105.52 
Interest, 157.85 , 156.24 , 146.98 , 183.81 , 227.77 , 297.55 , 313.18 , 321.52 , 285.02 , 279.35 , 284.15 , 284.15 , 284.15 
Profit before tax, 177.84 , 273.95 , 238.79 , 254.81 , 43.73 , 150.85 , 182.34 , 338.73 , 423.53 , 641.48 , 735.19 , 769.73 , 468.91 
Tax, 61.55 , 102.96 , 91.70 , 72.97 , 39.18 , 65.27 , 71.61 , 143.29 , 141.71 , 211.43 , 237.50 ,32%,32%
Net profit, 116.29 , 170.99 , 147.09 , 181.84 , 4.56 , 85.59 , 110.74 , 195.44 , 281.82 , 430.05 , 497.69 , 521.07 , 317.43 
EPS, 4.71 , 6.93 , 5.72 , 7.07 , 0.18 , 1.56 , 4.31 , 7.60 , 10.96 , 16.73 , 19.36 , 20.27 , 12.35 
Price to earning, 8.24 , 16.57 , 15.27 , 8.90 , 302.05 , 47.48 , 22.07 , 16.70 , 19.73 , 24.76 , 17.14 , 19.58 , 17.14 
Price, 38.83 , 114.81 , 87.37 , 62.97 , 53.58 , 73.89 , 95.05 , 126.95 , 216.24 , 414.17 , 331.90 , 396.90 , 211.69 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,21.21%,17.31%,20.97%,16.97%,282.02%,18.03%,20.90%,13.15%,14.60%,14.35%,,,
OPM,10.40%,11.56%,10.71%,8.46%,5.26%,6.65%,5.89%,9.92%,10.60%,11.00%,10.74%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,11.38%,12.49%,10.08%,11.09%,19.44%,19.44%,10.08%
,,,,,,OPM,8.99%,8.54%,9.04%,10.53%,10.74%,10.74%,8.54%
,,,,,,Price to Earning, 45.36 , 57.35 , 24.65 , 19.58 , 17.14 , 19.58 , 17.14 
