KCP SUGAR & INDUSTRIES CORPORATION LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 11.34 , 11.34 , 11.34 , 11.34 , 11.34 , 11.34 , 11.34 , 11.34 , 11.34 , 11.34 
Reserves, 145.46 , 159.26 , 165.19 , 182.40 , 207.89 , 224.28 , 202.84 , 208.18 , 247.70 , 243.72 
Borrowings, 51.45 , 42.39 , 101.35 , 107.25 , 48.37 , 87.21 , 99.00 , 106.92 , 139.87 , 208.65 
Other Liabilities, 99.64 , 98.68 , 129.52 , 125.56 , 151.99 , 161.46 , 144.44 , 172.00 , 113.86 , 91.50 
Total, 307.89 , 311.67 , 407.40 , 426.55 , 419.59 , 484.29 , 457.62 , 498.44 , 512.77 , 555.21 
,,,,,,,,,,
Net Block, 138.18 , 135.24 , 129.20 , 120.46 , 115.21 , 105.14 , 104.77 , 98.19 , 100.43 , 93.55 
Capital Work in Progress, 1.41 , 1.75 , 1.82 , 1.98 , 1.93 , 8.04 , 2.36 , 0.61 , 0.92 , 0.29 
Investments, 5.38 , 18.96 , 25.38 , 35.71 , 33.82 , 34.36 , 39.79 , 43.77 , 141.65 , 180.64 
Other Assets, 162.92 , 155.72 , 251.00 , 268.40 , 268.63 , 336.75 , 310.70 , 355.87 , 269.77 , 280.73 
Total, 307.89 , 311.67 , 407.40 , 426.55 , 419.59 , 484.29 , 457.62 , 498.44 , 512.77 , 555.21 
,,,,,,,,,,
Working Capital, 63.28 , 57.04 , 121.48 , 142.84 , 116.64 , 175.29 , 166.26 , 183.87 , 155.91 , 189.23 
Debtors, 3.63 , 5.06 , 11.48 , 12.38 , 21.57 , 20.67 , 22.82 , 44.21 , 23.29 , 22.59 
Inventory, 128.46 , 110.98 , 210.09 , 227.94 , 217.05 , 280.74 , 240.29 , 267.47 , 219.50 , 207.54 
,,,,,,,,,,
Debtor Days, 7.36 , 7.40 , 20.37 , 13.78 , 18.89 , 22.23 , 21.11 , 43.32 , 20.90 , 25.36 
Inventory Turnover, 1.40 , 2.25 , 0.98 , 1.44 , 1.92 , 1.21 , 1.64 , 1.39 , 1.85 , 1.57 
,,,,,,,,,,
Return on Equity,7%,14%,7%,14%,18%,12%,-8%,4%,21%,3%
Return on Capital Emp,,18%,7%,13%,22%,13%,-7%,5%,22%,2%
,,,,,,,,,,
