KDDL LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 7.44 , 7.44 , 7.86 , 8.92 , 9.12 , 9.12 , 9.16 , 10.17 , 10.93 , 11.04 
Reserves, 28.36 , 24.98 , 29.98 , 38.84 , 37.50 , 40.17 , 43.36 , 75.59 , 105.34 , 119.29 
Borrowings, 32.59 , 34.41 , 29.03 , 45.67 , 53.58 , 59.24 , 54.23 , 43.33 , 39.75 , 65.98 
Other Liabilities, 21.41 , 17.80 , 28.18 , 35.77 , 35.08 , 32.27 , 31.11 , 28.61 , 28.36 , 42.71 
Total, 89.80 , 84.63 , 95.05 , 129.20 , 135.28 , 140.80 , 137.86 , 157.70 , 184.38 , 239.02 
,,,,,,,,,,
Net Block, 39.74 , 38.28 , 39.44 , 47.42 , 58.73 , 57.36 , 53.26 , 58.93 , 61.60 , 61.01 
Capital Work in Progress, 0.86 , 0.82 , 0.73 , 9.23 , 0.99 , 0.72 , 2.03 , 2.57 , 4.59 , 23.55 
Investments, 14.01 , 12.97 , 13.64 , 18.07 , 18.09 , 18.58 , 18.69 , 32.38 , 48.35 , 67.59 
Other Assets, 35.19 , 32.56 , 41.24 , 54.48 , 57.47 , 64.14 , 63.88 , 63.82 , 69.84 , 86.87 
Total, 89.80 , 84.63 , 95.05 , 129.20 , 135.28 , 140.80 , 137.86 , 157.70 , 184.38 , 239.02 
,,,,,,,,,,
Working Capital, 13.78 , 14.76 , 13.06 , 18.71 , 22.39 , 31.87 , 32.77 , 35.21 , 41.48 , 44.16 
Debtors, 9.34 , 11.51 , 16.69 , 18.50 , 16.96 , 18.10 , 17.95 , 19.92 , 21.20 , 28.56 
Inventory, 13.01 , 11.97 , 14.13 , 18.43 , 21.74 , 20.90 , 21.90 , 21.14 , 21.02 , 27.13 
,,,,,,,,,,
Debtor Days, 50.16 , 80.34 , 76.76 , 67.57 , 64.75 , 59.20 , 51.74 , 61.10 , 61.70 , 71.49 
Inventory Turnover, 5.22 , 4.37 , 5.62 , 5.42 , 4.40 , 5.34 , 5.78 , 5.63 , 5.97 , 5.37 
,,,,,,,,,,
Return on Equity,1%,-10%,17%,18%,-1%,9%,12%,8%,6%,11%
Return on Capital Emp,,-1%,20%,23%,7%,14%,17%,14%,12%,14%
,,,,,,,,,,
