KNR CONSTRUCTIONS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 116.41 , 33.96 , 81.80 , 130.37 , 1.04 , 133.23 , 36.94 , 253.37 , 316.55 , 156.82 
Cash from Investing Activity, (46.71), 12.04 , (115.06), (58.54), (58.09), (79.92), (24.97), (255.45), (309.49), (185.15)
Cash from Financing Activity, (63.07), (50.09), 33.66 , (71.71), 56.62 , (52.45), (10.72), 0.86 , 5.28 , 48.95 
Net Cash Flow, 6.63 , (4.09), 0.40 , 0.12 , (0.43), 0.86 , 1.25 , (1.22), 12.34 , 20.62 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
