KNR CONSTRUCTIONS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 649.61 , 712.46 , 793.03 , 750.50 , 692.13 , 834.79 , 850.75 , 876.60 ," 1,505.04 "," 1,920.17 "," 2,045.91 "," 2,518.75 "," 2,181.99 "
Expenses, 551.23 , 600.39 , 662.16 , 616.73 , 575.69 , 709.01 , 749.99 , 749.65 ," 1,314.01 "," 1,545.52 "," 1,642.06 "," 2,021.57 "," 1,847.01 "
Operating Profit, 98.38 , 112.07 , 130.87 , 133.77 , 116.44 , 125.78 , 100.76 , 126.95 , 191.03 , 374.65 , 403.85 , 497.19 , 334.98 
Other Income, 5.83 , 6.64 , 2.62 , 5.66 , 17.87 , 15.95 , 13.27 , 31.72 , 21.95 , 39.31 , 66.52 , -   , -   
Depreciation, 25.02 , 26.17 , 41.44 , 51.38 , 55.67 , 57.23 , 54.06 , 42.25 , 63.87 , 134.15 , 169.36 , 169.36 , 169.36 
Interest, 13.09 , 9.08 , 8.48 , 9.64 , 11.63 , 17.63 , 13.06 , 13.24 , 21.90 , 23.14 , 30.66 , 30.66 , 30.66 
Profit before tax, 66.10 , 83.46 , 83.57 , 78.41 , 67.02 , 66.89 , 72.30 , 129.14 , 163.22 , 268.15 , 270.35 , 297.17 , 134.96 
Tax, 22.44 , 33.18 , 26.74 , 25.65 , 14.88 , 5.91 , (0.71), (31.94), 5.96 , (3.94), 19.48 ,7%,7%
Net profit, 43.66 , 50.28 , 56.83 , 52.76 , 52.13 , 60.98 , 73.01 , 161.07 , 157.25 , 272.09 , 250.85 , 275.75 , 125.23 
EPS, 3.10 , 3.58 , 4.04 , 3.75 , 3.71 , 4.34 , 5.19 , 11.45 , 11.18 , 19.35 , 17.84 , 19.61 , 8.91 
Price to earning, 2.96 , 10.03 , 5.77 , 6.89 , 4.41 , 4.45 , 17.40 , 9.36 , 17.64 , 15.98 , 16.29 , 16.29 , 10.11 
Price, 9.20 , 35.87 , 23.31 , 25.86 , 16.36 , 19.29 , 90.32 , 107.19 , 197.21 , 309.28 , 290.60 , 319.45 , 90.01 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,12.87%,11.18%,9.89%,5.33%,5.39%,4.61%,3.85%,3.49%,4.47%,2.07%,,,
OPM,15.14%,15.73%,16.50%,17.82%,16.82%,15.07%,11.84%,14.48%,12.69%,19.51%,19.74%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,12.80%,13.47%,22.64%,31.17%,27.58%,31.17%,12.80%
,,,,,,OPM,15.76%,15.74%,15.35%,16.10%,19.74%,19.74%,15.35%
,,,,,,Price to Earning, 10.11 , 11.55 , 13.52 , 14.82 , 16.29 , 16.29 , 10.11 
