KRBL LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 24.35 , 24.35 , 24.35 , 24.35 , 24.24 , 23.58 , 23.54 , 23.54 , 23.54 , 23.54 
Reserves, 376.96 , 475.54 , 582.54 , 645.21 , 773.88 , 996.38 ," 1,235.47 "," 1,436.73 "," 1,848.08 "," 2,255.76 "
Borrowings, 600.62 , 604.49 , 902.15 , 938.11 , 870.34 ," 1,379.50 "," 1,351.03 "," 1,167.45 "," 1,090.07 "," 1,245.26 "
Other Liabilities, 162.71 , 212.78 , 325.91 , 353.02 , 309.98 , 288.54 , 390.13 , 330.32 , 438.81 , 322.63 
Total," 1,164.64 "," 1,317.16 "," 1,834.95 "," 1,960.69 "," 1,978.44 "," 2,688.00 "," 3,000.17 "," 2,958.04 "," 3,400.50 "," 3,847.19 "
,,,,,,,,,,
Net Block, 215.52 , 316.27 , 380.49 , 413.64 , 437.87 , 557.85 , 634.82 , 759.80 ," 1,002.65 ", 970.96 
Capital Work in Progress, 34.09 , 35.81 , 20.42 , 7.84 , 15.12 , 14.40 , 113.74 , 100.26 , 1.71 , 2.25 
Investments, 2.37 , 2.52 , 12.99 , 11.13 , 10.54 , 10.58 , 10.87 , 16.96 , 14.38 , 13.26 
Other Assets, 912.66 , 962.56 ," 1,421.05 "," 1,528.08 "," 1,514.91 "," 2,105.17 "," 2,240.74 "," 2,081.02 "," 2,381.76 "," 2,860.72 "
Total," 1,164.64 "," 1,317.16 "," 1,834.95 "," 1,960.69 "," 1,978.44 "," 2,688.00 "," 3,000.17 "," 2,958.04 "," 3,400.50 "," 3,847.19 "
,,,,,,,,,,
Working Capital, 749.95 , 749.78 ," 1,095.14 "," 1,175.06 "," 1,204.93 "," 1,816.63 "," 1,850.61 "," 1,750.70 "," 1,942.95 "," 2,538.09 "
Debtors, 58.36 , 135.08 , 148.00 , 229.17 , 195.01 , 279.25 , 315.58 , 156.95 , 231.07 , 244.13 
Inventory, 787.90 , 781.28 ," 1,208.50 "," 1,237.72 "," 1,260.29 "," 1,689.90 "," 1,858.48 "," 1,793.05 "," 2,018.64 "," 2,461.61 "
,,,,,,,,,,
Debtor Days, 17.87 , 31.35 , 35.12 , 52.22 , 34.70 , 36.89 , 37.66 , 17.13 , 26.83 , 27.51 
Inventory Turnover, 1.51 , 2.01 , 1.27 , 1.29 , 1.63 , 1.63 , 1.65 , 1.87 , 1.56 , 1.32 
,,,,,,,,,,
Return on Equity,12%,21%,19%,11%,19%,26%,22%,22%,21%,20%
Return on Capital Emp,,17%,15%,11%,17%,20%,17%,19%,21%,23%
,,,,,,,,,,
