KSK ENERGY VENTURES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 106.48 , 163.77 , 105.97 , 67.52 , 49.16 , 47.98 , 43.53 , 21.79 , 19.85 , 2.49 , 1.32 , 1.32 , 1.68 
Expenses, 17.71 , 26.34 , 20.75 , 21.59 , 12.67 , 11.46 , 16.33 , 16.65 , 11.28 , 55.63 , 23.09 , 0.91 , 1.68 
Operating Profit, 88.77 , 137.43 , 85.22 , 45.93 , 36.49 , 36.52 , 27.20 , 5.14 , 8.57 , (53.14), (21.77), 0.41 , -   
Other Income, 136.57 , 112.10 , 57.31 , 76.00 , 94.72 , 70.91 , 12.78 , 59.43 , 37.73 , (184.73), (191.30), -   , -   
Depreciation, 0.91 , 1.38 , 8.13 , 3.26 , 1.66 , 1.05 , 2.70 , 0.72 , 0.41 , 0.22 , 0.10 , 0.10 , 0.10 
Interest, 87.78 , 92.64 , 85.65 , 108.97 , 114.27 , 92.86 , 50.61 , 101.05 , 133.39 , 138.06 , 171.01 , 171.01 , 171.01 
Profit before tax, 136.65 , 155.51 , 48.75 , 9.70 , 15.28 , 13.52 , (13.32), (37.20), (87.50), (376.15), (384.18), (170.70), (171.11)
Tax, 33.03 , 28.46 , 15.25 , 9.16 , 1.99 , 3.77 , (7.45), 0.40 , -   , 7.38 , 7.38 ,0%,0%
Net profit, 103.62 , 127.05 , 33.50 , 0.54 , 13.28 , 9.75 , (5.87), (37.61), (87.50), (383.53), (391.57), (170.70), (171.11)
EPS, 2.99 , 3.41 , 0.90 , 0.01 , 0.36 , 0.26 , (0.14), (0.89), (2.06), (9.05), (9.24), (4.03), (4.04)
Price to earning, 59.41 , 57.04 , 119.39 ," 4,300.78 ", 133.89 , 263.65 , (434.84), (38.58), (4.59), (0.97), -   , -   , -   
Price, 177.85 , 194.47 , 107.33 , 62.33 , 47.72 , 68.98 , 60.45 , 34.23 , 9.48 , 8.77 , 0.95 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,83.37%,83.92%,80.42%,68.02%,74.23%,76.12%,62.49%,23.59%,43.17%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-34.12%,-41.48%,-44.93%,-61.47%,-46.99%,-46.99%,-61.47%
,,,,,,OPM,74.98%,63.35%,57.08%,31.07%,0.00%,31.07%,0.00%
,,,,,,Price to Earning, 822.36 ," 1,566.11 ", 263.65 ,  , -   , -   , -   
