KABRA EXTRUSION TECHNIK LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 153.50 , 194.81 , 219.52 , 190.83 , 179.94 , 223.16 , 271.28 , 299.08 , 276.08 , 268.13 , 248.71 , 267.09 , 260.97 
Expenses, 136.31 , 161.58 , 186.16 , 176.75 , 163.54 , 199.84 , 241.70 , 279.41 , 246.20 , 239.94 , 225.33 , 241.98 , 236.91 
Operating Profit, 17.19 , 33.23 , 33.36 , 14.08 , 16.40 , 23.32 , 29.58 , 19.67 , 29.88 , 28.19 , 23.38 , 25.11 , 24.06 
Other Income, 4.02 , 2.50 , 6.58 , 4.17 , 5.05 , 1.92 , 8.52 , 22.35 , 2.22 , 2.57 , 14.80 , -   , -   
Depreciation, 3.66 , 3.39 , 3.88 , 4.65 , 5.84 , 5.93 , 7.61 , 8.71 , 6.99 , 7.93 , 7.24 , 7.24 , 7.24 
Interest, 1.26 , 1.51 , 0.88 , 1.00 , 2.78 , 1.84 , 3.44 , 1.77 , 1.93 , 1.48 , 2.12 , 2.12 , 2.12 
Profit before tax, 16.29 , 30.83 , 35.18 , 12.60 , 12.84 , 17.47 , 27.05 , 31.54 , 23.16 , 21.35 , 28.82 , 15.75 , 14.70 
Tax, 4.59 , 9.36 , 9.36 , 2.59 , 1.97 , 3.26 , 4.65 , 9.08 , 2.40 , 1.22 , 3.87 ,13%,13%
Net profit, 11.70 , 21.47 , 25.82 , 10.01 , 10.86 , 14.21 , 22.40 , 22.47 , 20.76 , 20.12 , 24.95 , 13.63 , 12.72 
EPS, 5.98 , 10.97 , 8.09 , 3.14 , 3.40 , 4.45 , 7.02 , 7.04 , 6.51 , 6.31 , 7.82 , 4.27 , 3.99 
Price to earning, 3.02 , 5.77 , 7.63 , 11.47 , 7.87 , 8.01 , 10.72 , 12.92 , 18.32 , 19.31 , 10.50 , 15.26 , 10.50 
Price, 18.07 , 63.32 , 61.72 , 35.99 , 26.79 , 35.68 , 75.29 , 91.01 , 119.24 , 121.78 , 82.15 , 65.24 , 41.90 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,40.94%,26.04%,21.61%,31.87%,29.37%,33.71%,28.48%,31.95%,30.73%,31.71%,,,
OPM,11.20%,17.06%,15.20%,7.38%,9.11%,10.45%,10.90%,6.58%,10.82%,10.51%,9.40%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,6.39%,2.90%,8.30%,-0.39%,-2.88%,-0.39%,-2.88%
,,,,,,OPM,10.76%,9.43%,9.77%,9.22%,9.40%,9.40%,9.22%
,,,,,,Price to Earning, 10.50 , 12.39 , 13.30 , 15.26 , 10.50 , 15.26 , 10.50 
