KAJARIA CERAMICS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 14.72 , 14.72 , 14.72 , 14.72 , 14.72 , 15.12 , 15.89 , 15.89 , 15.89 , 15.90 
Reserves, 147.35 , 174.62 , 207.84 , 267.18 , 342.07 , 477.47 , 706.24 , 940.27 ," 1,163.80 "," 1,360.67 "
Borrowings, 325.17 , 262.83 , 203.99 , 241.73 , 216.38 , 88.80 , 81.47 , 43.36 , 10.74 , 11.94 
Other Liabilities, 140.64 , 196.20 , 369.29 , 310.67 , 312.78 , 370.70 , 394.49 , 462.62 , 472.20 , 449.50 
Total, 627.88 , 648.37 , 795.84 , 834.30 , 885.95 , 952.09 ," 1,198.09 "," 1,462.14 "," 1,662.63 "," 1,838.01 "
,,,,,,,,,,
Net Block, 327.66 , 344.79 , 479.04 , 469.07 , 464.71 , 504.08 , 514.23 , 662.61 , 719.06 , 744.80 
Capital Work in Progress, -   , 2.54 , 0.06 , 1.76 , 6.85 , 11.94 , 3.71 , 5.81 , 4.79 , 1.33 
Investments, 3.39 , 3.39 , 9.01 , 12.35 , 37.16 , 44.95 , 79.19 , 108.89 , 108.89 , 115.65 
Other Assets, 296.83 , 297.65 , 307.73 , 351.12 , 377.23 , 391.12 , 600.96 , 684.83 , 829.89 , 976.23 
Total, 627.88 , 648.37 , 795.84 , 834.30 , 885.95 , 952.09 ," 1,198.09 "," 1,462.14 "," 1,662.63 "," 1,838.01 "
,,,,,,,,,,
Working Capital, 156.19 , 101.45 , (61.56), 40.45 , 64.45 , 20.42 , 206.47 , 222.21 , 357.69 , 526.73 
Debtors, 67.80 , 77.32 , 90.91 , 115.74 , 136.58 , 158.32 , 191.78 , 252.20 , 305.90 , 406.59 
Inventory, 138.46 , 140.26 , 151.51 , 175.78 , 176.53 , 151.81 , 201.96 , 219.99 , 234.66 , 246.16 
,,,,,,,,,,
Debtor Days, 37.22 , 38.37 , 34.81 , 32.18 , 31.35 , 30.70 , 31.35 , 37.68 , 44.17 , 57.51 
Inventory Turnover, 4.80 , 5.24 , 6.29 , 7.47 , 9.01 , 12.40 , 11.06 , 11.11 , 10.77 , 10.48 
,,,,,,,,,,
Return on Equity,5%,19%,27%,29%,28%,24%,23%,25%,23%,18%
Return on Capital Emp,,20%,27%,35%,34%,35%,36%,40%,38%,30%
,,,,,,,,,,
