KAKATIYA CEMENT SUGAR & INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 52.65 , 26.93 , (3.46), (0.31), 1.92 , (0.34), (12.59), 43.09 , 28.58 , 14.93 
Cash from Investing Activity, (4.80), 0.27 , (2.06), 1.83 , 0.67 , 0.21 , 1.38 , (2.83), 6.40 , 9.51 
Cash from Financing Activity, (36.31), (17.51), (7.57), (7.89), (2.91), 9.31 , 28.09 , (12.35), 11.94 , 21.72 
Net Cash Flow, 11.54 , 9.69 , (13.09), (6.37), (0.32), 9.18 , 16.87 , 27.91 , 46.91 , 46.16 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
