KALYANI COMMERCIALS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , (7.00), (2.27), (2.99), 4.52 , (1.58), (0.63), 2.82 
Cash from Investing Activity, -   , -   , -   , (1.59), (1.13), (1.55), (1.09), (0.73), (2.70), (2.10)
Cash from Financing Activity, -   , -   , -   , 7.19 , 4.26 , 4.48 , (0.55), 0.43 , 2.08 , 1.67 
Net Cash Flow, -   , -   , -   , (1.40), 0.87 , (0.06), 2.89 , (1.88), (1.25), 2.39 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
