KALYANI FORGE LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 3.64 , 3.64 , 3.64 , 3.64 , 3.64 , 3.64 , 3.64 , 3.64 , 3.64 , 3.64 
Reserves, 67.17 , 69.71 , 75.31 , 87.67 , 95.43 , 99.15 , 93.78 , 94.01 , 98.37 , 103.14 
Borrowings, 60.91 , 58.68 , 73.07 , 71.60 , 68.66 , 59.77 , 46.72 , 41.01 , 63.37 , 63.20 
Other Liabilities, 47.90 , 49.74 , 60.59 , 54.85 , 52.15 , 48.94 , 58.19 , 61.74 , 72.67 , 67.77 
Total, 179.62 , 181.77 , 212.61 , 217.76 , 219.88 , 211.50 , 202.33 , 200.40 , 238.05 , 237.75 
,,,,,,,,,,
Net Block, 72.42 , 81.41 , 82.31 , 81.53 , 83.05 , 79.06 , 61.33 , 63.83 , 60.14 , 84.20 
Capital Work in Progress, 20.50 , 5.57 , 6.95 , 5.37 , 7.17 , 13.83 , 16.90 , 8.10 , 29.74 , 4.65 
Investments, 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 
Other Assets, 86.69 , 94.78 , 123.34 , 130.85 , 129.65 , 118.60 , 124.09 , 128.46 , 148.16 , 148.89 
Total, 179.62 , 181.77 , 212.61 , 217.76 , 219.88 , 211.50 , 202.33 , 200.40 , 238.05 , 237.75 
,,,,,,,,,,
Working Capital, 38.79 , 45.04 , 62.75 , 76.00 , 77.50 , 69.66 , 65.90 , 66.72 , 75.49 , 81.12 
Debtors, 42.82 , 45.51 , 61.86 , 62.56 , 59.78 , 53.18 , 60.82 , 61.69 , 61.77 , 70.08 
Inventory, 24.10 , 27.32 , 31.54 , 32.95 , 32.71 , 36.97 , 34.37 , 37.13 , 44.87 , 48.18 
,,,,,,,,,,
Debtor Days, 95.96 , 101.26 , 95.71 , 82.12 , 83.68 , 94.49 , 92.19 , 97.50 , 99.39 , 98.93 
Inventory Turnover, 6.76 , 6.00 , 7.48 , 8.44 , 7.97 , 5.56 , 7.01 , 6.22 , 5.06 , 5.37 
,,,,,,,,,,
Return on Equity,1%,5%,8%,15%,9%,5%,-2%,1%,3%,6%
Return on Capital Emp,,9%,12%,19%,13%,8%,2%,5%,6%,9%
,,,,,,,,,,
