KAMDHENU LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 374.60 , 368.92 , 383.13 , 481.51 , 547.54 , 921.70 , 967.99 , 841.19 , 824.87 ," 1,179.78 "," 1,232.40 "," 1,687.39 "," 1,263.80 "
Expenses, 365.39 , 358.45 , 369.13 , 462.20 , 525.97 , 895.77 , 937.78 , 809.30 , 792.13 ," 1,135.65 "," 1,178.96 "," 1,614.22 "," 1,219.89 "
Operating Profit, 9.21 , 10.47 , 14.00 , 19.31 , 21.57 , 25.93 , 30.21 , 31.89 , 32.74 , 44.13 , 53.44 , 73.17 , 43.92 
Other Income, 0.25 , 0.38 , 0.32 , 0.76 , 0.67 , (0.23), 0.31 , 0.48 , 0.55 , 0.63 , 0.38 , -   , -   
Depreciation, 2.92 , 3.25 , 3.49 , 4.21 , 4.32 , 4.74 , 5.42 , 5.23 , 7.66 , 7.71 , 7.37 , 7.37 , 7.37 
Interest, 4.12 , 5.17 , 6.80 , 10.38 , 11.30 , 11.74 , 13.21 , 14.73 , 13.87 , 12.66 , 11.50 , 11.50 , 11.50 
Profit before tax, 2.42 , 2.43 , 4.03 , 5.49 , 6.62 , 9.23 , 11.90 , 12.41 , 11.74 , 24.41 , 34.95 , 54.30 , 25.05 
Tax, 1.20 , 0.39 , 1.19 , 1.46 , 1.81 , 3.28 , 3.87 , 4.26 , 3.63 , 8.74 , 12.49 ,36%,36%
Net profit, 1.22 , 2.04 , 2.84 , 4.03 , 4.81 , 5.95 , 8.03 , 8.15 , 8.10 , 15.67 , 22.48 , 34.89 , 16.09 
EPS, 0.64 , 1.07 , 1.49 , 1.96 , 2.06 , 2.54 , 3.43 , 3.48 , 3.46 , 6.70 , 8.52 , 13.22 , 6.10 
Price to earning, 24.12 , 20.68 , 13.41 , 9.34 , 13.16 , 8.91 , 12.98 , 14.97 , 27.45 , 37.45 , 21.56 , 25.36 , 18.23 
Price, 15.48 , 22.19 , 20.03 , 18.28 , 27.05 , 22.66 , 44.53 , 52.14 , 95.02 , 250.79 , 183.60 , 335.17 , 111.12 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,25.56%,0.00%,0.00%,20.42%,20.12%,23.09%,14.93%,,,
OPM,2.46%,2.84%,3.65%,4.01%,3.94%,2.81%,3.12%,3.79%,3.97%,3.74%,4.34%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,13.60%,17.43%,16.59%,6.82%,43.03%,43.03%,6.82%
,,,,,,OPM,3.47%,3.57%,3.48%,3.82%,4.34%,4.34%,3.47%
,,,,,,Price to Earning, 18.55 , 18.23 , 20.55 , 25.36 , 21.56 , 25.36 , 18.23 
