KANSAI NEROLAC PAINTS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 26.95 , 26.95 , 53.89 , 53.89 , 53.89 , 53.89 , 53.89 , 53.89 , 53.89 , 53.89 
Reserves, 627.50 , 745.87 , 862.28 ," 1,009.26 "," 1,232.09 "," 1,369.30 "," 1,542.93 "," 2,448.98 "," 2,751.43 "," 3,071.23 "
Borrowings, 93.62 , 109.98 , 82.49 , 74.57 , 68.98 , 56.80 , 41.50 , 41.61 , 28.78 , 18.33 
Other Liabilities, 329.47 , 399.13 , 476.68 , 562.51 , 717.08 , 783.87 , 712.39 , 747.31 , 788.46 , 953.60 
Total," 1,077.54 "," 1,281.93 "," 1,475.34 "," 1,700.23 "," 2,072.04 "," 2,263.86 "," 2,350.71 "," 3,291.79 "," 3,622.56 "," 4,097.05 "
,,,,,,,,,,
Net Block, 237.44 , 289.32 , 278.21 , 396.32 , 774.47 , 909.58 , 905.00 , 926.38 , 946.60 ," 1,006.58 "
Capital Work in Progress, 35.62 , 16.43 , 75.17 , 161.49 , 123.49 , 48.15 , 43.94 , 41.95 , 142.12 , 343.09 
Investments, 294.42 , 401.54 , 371.82 , 183.51 , 60.60 , 56.47 , 215.58 , 546.89 , 552.78 , 545.77 
Other Assets, 510.06 , 574.64 , 750.14 , 958.91 ," 1,113.48 "," 1,249.66 "," 1,186.19 "," 1,776.57 "," 1,981.06 "," 2,201.61 "
Total," 1,077.54 "," 1,281.93 "," 1,475.34 "," 1,700.23 "," 2,072.04 "," 2,263.86 "," 2,350.71 "," 3,291.79 "," 3,622.56 "," 4,097.05 "
,,,,,,,,,,
Working Capital, 180.59 , 175.51 , 273.46 , 396.40 , 396.40 , 465.79 , 473.80 ," 1,029.26 "," 1,192.60 "," 1,248.01 "
Debtors, 209.57 , 232.37 , 260.26 , 358.83 , 419.99 , 454.83 , 496.34 , 524.62 , 571.71 , 675.69 
Inventory, 170.63 , 247.44 , 354.10 , 453.71 , 534.07 , 645.66 , 541.67 , 571.71 , 691.31 , 805.76 
,,,,,,,,,,
Debtor Days, 57.13 , 50.96 , 45.70 , 51.61 , 54.94 , 53.71 , 52.25 , 51.22 , 52.18 , 53.77 
Inventory Turnover, 7.85 , 6.73 , 5.87 , 5.59 , 5.22 , 4.79 , 6.40 , 6.54 , 5.78 , 5.69 
,,,,,,,,,,
Return on Equity,15%,21%,22%,20%,23%,15%,17%,36%,18%,17%
Return on Capital Emp,,29%,31%,29%,34%,22%,26%,51%,28%,26%
,,,,,,,,,,
