KANSAI NEROLAC PAINTS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 204.61 , 150.46 , 130.02 , 102.26 , 223.70 , 189.22 , 302.49 , 389.57 , 344.96 , 377.37 
Cash from Investing Activity, (117.75), (162.89), (56.44), (12.15), (141.84), (112.46), (238.74), 145.32 , (566.75), (154.77)
Cash from Financing Activity, (44.07), (22.65), (74.78), (70.53), (80.98), (81.94), (84.67), (91.12), (211.59), (205.96)
Net Cash Flow, 42.79 , (35.08), (1.20), 19.58 , 0.88 , (5.18), (20.92), 443.77 , (433.38), 16.64 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
