KARDA CONSTRUCTION LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , -   , 105.78 , 126.79 , 70.83 , 151.97 , 140.86 
Expenses, -   , -   , -   , -   , -   , -   , -   , -   , 79.10 , 95.67 , 48.49 , 104.04 , 105.85 
Operating Profit, -   , -   , -   , -   , -   , -   , -   , -   , 26.68 , 31.12 , 22.34 , 47.93 , 35.01 
Other Income, -   , -   , -   , -   , -   , -   , -   , -   , 4.06 , 7.76 , 3.15 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , -   , 0.27 , 0.30 , 0.21 , 0.21 , 0.21 
Interest, -   , -   , -   , -   , -   , -   , -   , -   , 18.27 , 19.71 , 12.59 , 12.59 , 12.59 
Profit before tax, -   , -   , -   , -   , -   , -   , -   , -   , 12.21 , 18.87 , 12.69 , 35.13 , 22.21 
Tax, -   , -   , -   , -   , -   , -   , -   , -   , 4.30 , 5.81 , 3.33 ,26%,26%
Net profit, -   , -   , -   , -   , -   , -   , -   , -   , 7.91 , 13.05 , 9.36 , 25.91 , 16.38 
EPS, -   , -   , -   , -   , -   , -   , -   , -   , 8.79 , 10.61 , 7.61 , 21.07 , 13.32 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , 16.64 , 26.30 , 26.30 , 21.47 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , 176.58 , 200.15 , 554.12 , 285.95 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.22%,24.54%,31.54%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,19.86%,19.86%,19.86%
,,,,,,OPM,24.85%,24.85%,24.85%,24.85%,31.54%,31.54%,24.85%
,,,,,,Price to Earning, 21.47 , 21.47 , 21.47 , 21.47 , 26.30 , 26.30 , 21.47 
