KARUR VYSYA BANK LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 282.48 , (179.58), 481.74 , 249.01 , 81.83 ," 1,184.25 ", (308.95), 579.87 ," 1,611.25 ", (537.25)
Cash from Investing Activity, (19.39), (44.31), (102.22), (72.49), (132.99), (113.01), (102.32), (91.65), (83.86), (194.31)
Cash from Financing Activity, (75.49), 84.78 , 159.88 , 84.47 , (188.27), (189.12), 482.21 , (345.71), (73.90), 683.38 
Net Cash Flow, 187.60 , (139.11), 539.40 , 260.99 , (239.43), 882.12 , 70.95 , 142.51 ," 1,453.49 ", (48.18)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
