KARUTURI GLOBAL LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 45.29 , 48.93 , 80.55 , 80.90 , 80.97 , 80.97 , 80.97 , 101.97 , 149.75 , 149.75 
Reserves, 340.99 , 381.39 , 816.59 , 758.54 , 839.74 , 893.86 , 905.65 , 953.59 ," 1,354.23 "," 1,352.79 "
Borrowings, 394.21 , 346.77 , 233.58 , 269.00 , 400.90 , 429.89 , 446.52 , 499.63 , 78.95 , 78.93 
Other Liabilities, 19.28 , 91.81 , 20.03 , 97.89 , 14.50 , 17.29 , 22.59 , 23.52 , 16.27 , 15.15 
Total, 799.77 , 868.90 ," 1,150.75 "," 1,206.33 "," 1,336.11 "," 1,422.01 "," 1,455.73 "," 1,578.71 "," 1,599.20 "," 1,596.62 "
,,,,,,,,,,
Net Block, 29.03 , 27.23 , 41.43 , 37.06 , 13.47 , 9.64 , 8.97 , 8.24 , 7.50 , 7.11 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, 592.49 , 629.22 , 984.63 , 464.82 , 459.16 , 526.82 , 586.70 , 636.11 , 635.92 , 640.40 
Other Assets, 178.25 , 212.45 , 124.69 , 704.45 , 863.48 , 885.55 , 860.06 , 934.36 , 955.78 , 949.11 
Total, 799.77 , 868.90 ," 1,150.75 "," 1,206.33 "," 1,336.11 "," 1,422.01 "," 1,455.73 "," 1,578.71 "," 1,599.20 "," 1,596.62 "
,,,,,,,,,,
Working Capital, 158.97 , 120.64 , 104.66 , 606.56 , 848.98 , 868.26 , 837.47 , 910.84 , 939.51 , 933.96 
Debtors, 18.30 , 14.31 , 8.70 , 17.39 , 12.34 , 12.86 , 19.77 , 26.88 , 30.96 , 30.36 
Inventory, 0.54 , 0.78 , 1.43 , 1.56 , 0.62 , 1.15 , 1.28 , 1.03 , 0.92 , 0.87 
,,,,,,,,,,
Debtor Days, 158.51 , 194.82 , 99.86 , 287.08 , 235.20 , 333.61 , 476.62 , 688.99 ," 1,112.24 "," 1,281.09 "
Inventory Turnover, 78.04 , 34.37 , 22.24 , 14.17 , 30.89 , 12.23 , 11.83 , 13.83 , 11.04 , 9.94 
,,,,,,,,,,
Return on Equity,1%,2%,1%,1%,-5%,1%,0%,-1%,0%,0%
Return on Capital Emp,,1%,1%,1%,-3%,2%,2%,2%,0%,0%
,,,,,,,,,,
