KARUTURI GLOBAL LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (79.16), (59.70), 100.37 , (35.31), (12.75), 26.63 , 14.90 , 5.93 , (11.83), 67.00 
Cash from Investing Activity, 7.32 , (36.08), (369.95), 1.24 , 26.14 , (2.01), 6.20 , (65.97), (13.88), 1.29 
Cash from Financing Activity, 67.80 , 95.19 , 270.49 , 32.01 , (12.78), (25.12), (21.20), 59.88 , 25.73 , (68.46)
Net Cash Flow, (4.04), (0.59), 0.91 , (2.06), 0.61 , (0.50), (0.10), (0.16), 0.03 , (0.17)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
