KAVERI SEED COMPANY LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 122.96 , 161.94 , 233.24 , 372.13 , 710.14 ," 1,001.51 "," 1,114.09 ", 714.98 , 668.18 , 770.74 , 768.98 , 889.04 , 681.87 
Expenses, 94.06 , 126.74 , 179.66 , 290.32 , 571.40 , 782.19 , 809.00 , 525.70 , 532.26 , 554.40 , 563.41 , 651.38 , 518.75 
Operating Profit, 28.90 , 35.20 , 53.58 , 81.81 , 138.74 , 219.32 , 305.09 , 189.28 , 135.92 , 216.34 , 205.57 , 237.67 , 163.11 
Other Income, 1.28 , 1.89 , 1.00 , (7.89), 6.33 , 9.67 , 15.33 , 11.67 , (24.65), 23.69 , 42.86 , -   , -   
Depreciation, 3.22 , 4.15 , 10.19 , 10.01 , 10.60 , 14.37 , 12.28 , 24.98 , 28.49 , 23.35 , 21.18 , 21.18 , 21.18 
Interest, 1.92 , 1.82 , 4.35 , 3.27 , 1.51 , 0.16 , 0.15 , 0.17 , 0.12 , 0.40 , 0.12 , 0.12 , 0.12 
Profit before tax, 25.14 , 31.18 , 40.30 , 60.95 , 133.66 , 215.37 , 309.44 , 177.36 , 84.38 , 217.95 , 227.13 , 216.37 , 141.81 
Tax, 2.24 , 2.11 , (2.18), 2.85 , 3.79 , 4.81 , 7.59 , 5.07 , 5.90 , 7.61 , 12.40 ,5%,5%
Net profit, 22.90 , 29.07 , 42.48 , 58.10 , 129.87 , 210.56 , 301.84 , 172.28 , 78.47 , 210.34 , 214.73 , 204.55 , 134.07 
EPS, 3.34 , 4.24 , 6.20 , 8.48 , 18.96 , 30.63 , 43.81 , 24.95 , 11.36 , 31.83 , 34.01 , 32.40 , 21.24 
Price to earning, 9.43 , 13.61 , 11.27 , 15.44 , 12.81 , 20.33 , 21.97 , 15.72 , 49.04 , 16.53 , 15.63 , 24.23 , 15.63 
Price, 31.51 , 57.73 , 69.89 , 130.94 , 242.87 , 622.57 , 962.32 , 392.16 , 557.24 , 526.12 , 531.55 , 785.08 , 331.89 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,11.97%,9.43%,8.05%,9.43%,16.88%,15.67%,17.12%,10.02%,0.00%,9.43%,,,
OPM,23.50%,21.74%,22.97%,21.98%,19.54%,21.90%,27.38%,26.47%,20.34%,28.07%,26.73%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,22.62%,18.62%,1.65%,-11.56%,15.35%,15.35%,-11.56%
,,,,,,OPM,23.92%,24.04%,24.97%,25.14%,26.73%,26.73%,23.92%
,,,,,,Price to Earning, 18.34 , 20.93 , 23.20 , 24.23 , 15.63 , 24.23 , 15.63 
