KESAR TERMINALS & INFRASTRUCTURE LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (0.45), 11.13 , 8.74 , 5.68 , 14.69 , 18.47 , 11.83 , 17.78 , 24.68 , 13.80 
Cash from Investing Activity, (0.06), (7.67), (1.60), (2.88), (17.53), (15.44), (17.67), (9.66), (16.65), (9.23)
Cash from Financing Activity, 0.51 , (3.50), (6.30), (3.92), 4.55 , (3.06), 5.60 , (8.70), (2.74), (9.27)
Net Cash Flow, -   , (0.04), 0.84 , (1.12), 1.71 , (0.03), (0.24), (0.58), 5.28 , (4.71)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
