KHANDWALA SECURITIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 11.94 , 11.94 , 11.94 , 11.94 , 11.94 , 11.94 , 11.94 , 11.94 , 11.94 , 11.94 
Reserves, 17.70 , 16.33 , 16.76 , 16.21 , 15.86 , 15.59 , 15.84 , 15.14 , 14.53 , 13.78 
Borrowings, 6.36 , 6.59 , 7.62 , 3.94 , 4.01 , 5.15 , 2.83 , 3.08 , 2.92 , 2.84 
Other Liabilities, 40.74 , 34.72 , 20.96 , 16.03 , 11.60 , 13.11 , 8.77 , 10.54 , 9.82 , 12.30 
Total, 76.74 , 69.58 , 57.28 , 48.12 , 43.41 , 45.79 , 39.38 , 40.70 , 39.21 , 40.86 
,,,,,,,,,,
Net Block, 9.23 , 9.25 , 8.86 , 8.10 , 7.77 , 7.54 , 6.98 , 7.18 , 6.96 , 6.71 
Capital Work in Progress, 0.02 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, 2.84 , 3.73 , 3.50 , 3.46 , 3.45 , 3.45 , 3.40 , 3.40 , 3.40 , 3.40 
Other Assets, 64.65 , 56.60 , 44.92 , 36.56 , 32.19 , 34.80 , 29.00 , 30.12 , 28.85 , 30.75 
Total, 76.74 , 69.58 , 57.28 , 48.12 , 43.41 , 45.79 , 39.38 , 40.70 , 39.21 , 40.86 
,,,,,,,,,,
Working Capital, 23.91 , 21.88 , 23.96 , 20.53 , 20.59 , 21.69 , 20.23 , 19.58 , 19.03 , 18.45 
Debtors, 32.61 , 28.38 , 20.70 , 11.73 , 13.24 , 14.38 , 11.99 , 9.79 , 9.81 , 9.14 
Inventory, 0.68 , 0.40 , 0.24 , 0.14 , 0.05 , 0.11 , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, 969.27 ," 1,326.34 "," 1,309.45 "," 1,106.32 "," 1,313.21 "," 1,246.72 ", 889.50 ," 1,044.84 ", 864.89 , 875.62 
Inventory Turnover, 18.06 , 19.53 , 24.04 , 27.64 , 73.60 , 38.27 , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,8%,-6%,1%,-2%,-1%,-1%,1%,-3%,-2%,-3%
Return on Capital Emp,,-3%,2%,-1%,0%,1%,2%,-1%,-1%,-2%
,,,,,,,,,,
