KILITCH DRUGS (INDIA) LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 13.20 , 13.20 , 13.23 , 13.23 , 13.23 , 13.23 , 13.23 , 13.23 , 13.23 , 13.73 
Reserves, 51.19 , 62.19 , 71.22 , 102.54 , 105.82 , 107.00 , 106.74 , 104.69 , 105.79 , 115.10 
Borrowings, 35.43 , 42.99 , 53.06 , 0.89 , -   , -   , -   , 0.09 , 0.59 , 0.82 
Other Liabilities, 41.73 , 21.62 , 16.26 , 60.99 , 17.81 , 8.88 , 6.82 , 7.69 , 10.33 , 15.71 
Total, 141.55 , 140.00 , 153.77 , 177.65 , 136.86 , 129.11 , 126.79 , 125.70 , 129.94 , 145.36 
,,,,,,,,,,
Net Block, 46.34 , 44.25 , 41.93 , 8.47 , 8.87 , 9.33 , 9.38 , 8.34 , 7.68 , 7.35 
Capital Work in Progress, 7.60 , 22.11 , 43.15 , -   , -   , -   , -   , -   , -   , -   
Investments, 0.22 , 1.47 , 2.18 , 140.18 , 108.99 , 40.36 , 71.82 , 92.23 , 96.32 , 100.54 
Other Assets, 87.39 , 72.17 , 66.51 , 29.00 , 19.00 , 79.42 , 45.59 , 25.13 , 25.94 , 37.47 
Total, 141.55 , 140.00 , 153.77 , 177.65 , 136.86 , 129.11 , 126.79 , 125.70 , 129.94 , 145.36 
,,,,,,,,,,
Working Capital, 45.66 , 50.55 , 50.25 , (31.99), 1.19 , 70.54 , 38.77 , 17.44 , 15.61 , 21.76 
Debtors, 54.61 , 47.95 , 38.45 , 14.47 , 12.40 , 8.63 , 12.62 , 16.37 , 14.62 , 20.72 
Inventory, 13.27 , 12.45 , 16.76 , 1.94 , 1.54 , 2.60 , 2.38 , 2.62 , 2.60 , 2.80 
,,,,,,,,,,
Debtor Days, 154.61 , 122.78 , 96.18 , 49.45 , 136.41 , 212.69 , 243.20 , 285.48 , 199.56 , 150.03 
Inventory Turnover, 9.72 , 11.45 , 8.71 , 55.05 , 21.55 , 5.70 , 7.96 , 7.99 , 10.28 , 18.00 
,,,,,,,,,,
Return on Equity,17%,14%,12%,67%,3%,1%,0%,-2%,0%,5%
Return on Capital Emp,,16%,13%,80%,3%,1%,-1%,-2%,0%,6%
,,,,,,,,,,
