KILITCH DRUGS (INDIA) LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 128.92 , 142.55 , 145.91 , 106.80 , 33.18 , 14.81 , 18.94 , 20.93 , 26.74 , 50.41 , 89.72 , 95.03 , 37.77 
Expenses, 105.20 , 119.10 , 123.78 , 108.15 , 37.44 , 18.56 , 20.58 , 24.07 , 26.86 , 44.42 , 75.05 , 79.49 , 36.94 
Operating Profit, 23.72 , 23.45 , 22.13 , (1.35), (4.26), (3.75), (1.64), (3.14), (0.12), 5.99 , 14.67 , 15.54 , 0.83 
Other Income, 0.21 , 0.48 , 0.23 , 108.15 , 8.85 , 6.29 , 2.69 , 2.34 , 1.14 , 2.78 , 5.55 , -   , -   
Depreciation, 6.13 , 6.07 , 5.59 , 4.83 , 1.23 , 1.44 , 1.85 , 1.61 , 1.32 , 1.19 , 1.17 , 1.17 , 1.17 
Interest, 5.10 , 4.54 , 3.69 , 2.95 , 0.08 , 0.03 , 0.05 , 0.06 , 0.15 , 0.41 , -   , -   , -   
Profit before tax, 12.70 , 13.32 , 13.08 , 99.00 , 3.27 , 1.06 , (0.84), (2.49), (0.46), 7.16 , 19.05 , 14.37 , (0.34)
Tax, 1.56 , 2.86 , 2.62 , 21.05 , (0.01), (0.11), (0.66), (0.44), (0.42), 0.96 , 4.65 ,24%,24%
Net profit, 11.14 , 10.46 , 10.46 , 77.95 , 3.28 , 1.18 , (0.19), (2.05), (0.04), 6.20 , 14.40 , 10.86 , (0.26)
EPS, 8.44 , 7.92 , 7.91 , 58.91 , 2.48 , 0.89 , (0.14), (1.55), (0.03), 4.52 , 9.34 , 7.04 , (0.17)
Price to earning, 8.69 , 13.57 , 8.27 , 0.99 , 8.91 , 23.22 , (229.99), (23.87)," (1,822.55)", 19.25 , 21.16 , 21.16 , 13.01 
Price, 73.33 , 107.54 , 65.34 , 58.39 , 22.08 , 20.70 , 33.03 , 36.98 , 55.10 , 86.92 , 197.60 , 149.04 , (2.15)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,11.85%,12.62%,12.62%,50.92%,0.00%,0.00%,0.00%,0.00%,0.00%,11.13%,,,
OPM,18.40%,16.45%,15.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.88%,16.35%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-9.91%,-14.09%,8.72%,38.58%,88.52%,88.52%,-14.09%
,,,,,,OPM,10.92%,2.20%,4.54%,6.11%,16.35%,16.35%,2.20%
,,,,,,Price to Earning, 13.01 , 14.70 , 21.21 , 20.20 , 21.16 , 21.16 , 13.01 
