KINGFA SCIENCE & TECHNOLOGY (INDIA) LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 6.51 , 6.41 , 6.41 , 6.41 , 6.41 , 6.41 , 6.41 , 10.11 , 10.11 , 12.11 
Reserves, 18.16 , 17.88 , 18.48 , 18.51 , 13.46 , 4.98 , 1.76 , 109.32 , 121.15 , 293.18 
Borrowings, 35.97 , 35.31 , 42.68 , 42.57 , 34.33 , 62.12 , 75.39 , 15.92 , 41.70 , 21.46 
Other Liabilities, 18.45 , 20.15 , 27.79 , 22.36 , 32.97 , 34.81 , 44.84 , 98.65 , 234.56 , 156.05 
Total, 79.09 , 79.75 , 95.36 , 89.85 , 87.17 , 108.32 , 128.40 , 234.00 , 407.52 , 482.80 
,,,,,,,,,,
Net Block, 31.89 , 31.00 , 31.30 , 29.38 , 25.54 , 24.25 , 24.89 , 28.84 , 75.95 , 88.09 
Capital Work in Progress, 0.95 , 0.44 , 0.28 , 0.33 , 0.26 , 0.24 , 0.64 , 41.34 , 9.68 , 2.32 
Investments, 2.31 , 0.91 , 0.24 , 0.47 , 0.45 , -   , -   , -   , -   , -   
Other Assets, 43.94 , 47.40 , 63.54 , 59.67 , 60.92 , 83.83 , 102.87 , 163.82 , 321.89 , 392.39 
Total, 79.09 , 79.75 , 95.36 , 89.85 , 87.17 , 108.32 , 128.40 , 234.00 , 407.52 , 482.80 
,,,,,,,,,,
Working Capital, 25.49 , 27.25 , 35.75 , 37.31 , 27.95 , 49.02 , 58.03 , 65.17 , 87.33 , 236.34 
Debtors, 18.30 , 24.41 , 34.53 , 34.56 , 33.49 , 47.08 , 55.94 , 85.26 , 129.71 , 181.07 
Inventory, 15.88 , 15.48 , 21.07 , 18.24 , 19.16 , 22.95 , 31.98 , 59.30 , 68.97 , 115.89 
,,,,,,,,,,
Debtor Days, 56.45 , 81.58 , 89.95 , 84.04 , 78.07 , 96.63 , 93.32 , 99.05 , 110.85 , 109.85 
Inventory Turnover, 7.45 , 7.05 , 6.65 , 8.23 , 8.17 , 7.75 , 6.84 , 5.30 , 6.19 , 5.19 
,,,,,,,,,,
Return on Equity,-7%,0%,4%,0%,-25%,-74%,-37%,9%,9%,8%
Return on Capital Emp,,8%,9%,10%,0%,-9%,4%,22%,13%,16%
,,,,,,,,,,
