KOHINOOR FOODS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 28.19 , 28.19 , 28.19 , 28.19 , 28.19 , 35.24 , 35.24 , 35.24 , 35.24 , 35.24 
Reserves, 165.44 , 181.09 , 144.61 , 327.86 , 337.60 , 449.83 , 376.32 , 380.13 , 123.30 , 52.32 
Borrowings, 586.69 , 721.00 , 924.71 , 895.48 , 853.91 , 831.87 , 811.88 , 866.44 , 843.99 , 719.05 
Other Liabilities, 73.36 , 95.91 , 129.38 , 133.81 , 151.59 , 351.51 , 323.57 , 126.70 , 169.36 , 186.61 
Total, 853.68 ," 1,026.19 "," 1,226.89 "," 1,385.34 "," 1,371.29 "," 1,668.45 "," 1,547.01 "," 1,408.51 "," 1,171.89 ", 993.22 
,,,,,,,,,,
Net Block, 52.46 , 48.90 , 52.72 , 61.45 , 94.78 , 90.32 , 73.85 , 74.92 , 212.91 , 205.61 
Capital Work in Progress, 0.54 , 15.22 , 38.57 , 32.54 , 3.57 , 1.01 , 0.69 , 0.24 , 2.75 , 0.01 
Investments, 34.81 , 58.51 , 58.51 , 100.72 , 132.41 , 132.40 , 132.40 , 132.51 , 100.39 , 89.68 
Other Assets, 765.87 , 903.56 ," 1,077.09 "," 1,190.63 "," 1,140.53 "," 1,444.72 "," 1,340.07 "," 1,200.84 ", 855.84 , 697.92 
Total, 853.68 ," 1,026.19 "," 1,226.89 "," 1,385.34 "," 1,371.29 "," 1,668.45 "," 1,547.01 "," 1,408.51 "," 1,171.89 ", 993.22 
,,,,,,,,,,
Working Capital, 692.51 , 807.65 , 947.71 ," 1,056.82 ", 988.94 ," 1,093.21 "," 1,016.50 "," 1,074.14 ", 686.48 , 511.31 
Debtors, 111.85 , 151.80 , 191.56 , 189.08 , 146.13 , 284.96 , 186.05 , 134.84 , 82.76 , 83.29 
Inventory, 512.10 , 639.15 , 768.95 , 849.20 , 932.30 ," 1,088.87 "," 1,056.91 ", 973.84 , 618.14 , 464.23 
,,,,,,,,,,
Debtor Days, 64.27 , 71.78 , 77.23 , 71.87 , 49.03 , 82.33 , 58.59 , 43.53 , 28.75 , 35.42 
Inventory Turnover, 1.24 , 1.21 , 1.18 , 1.13 , 1.17 , 1.16 , 1.10 , 1.16 , 1.70 , 1.85 
,,,,,,,,,,
Return on Equity,-6%,4%,-14%,51%,3%,1%,-18%,1%,-75%,-81%
Return on Capital Emp,,9%,5%,27%,9%,7%,0%,8%,-9%,1%
,,,,,,,,,,
