KOPRAN LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 35.25 , 37.10 , 39.05 , 39.05 , 39.05 , 39.05 , 41.10 , 43.25 , 43.25 , 43.25 
Reserves, 45.81 , 56.85 , 62.25 , 68.42 , 80.48 , 97.52 , 121.81 , 144.82 , 157.69 , 162.50 
Borrowings, 114.84 , 109.89 , 108.81 , 102.66 , 102.40 , 128.75 , 37.81 , 33.27 , 56.19 , 52.13 
Other Liabilities, 56.15 , 59.93 , 55.74 , 69.28 , 71.11 , 63.67 , 73.89 , 57.41 , 58.80 , 47.72 
Total, 252.05 , 263.77 , 265.85 , 279.41 , 293.04 , 328.99 , 274.61 , 278.75 , 315.93 , 305.60 
,,,,,,,,,,
Net Block, 126.81 , 118.11 , 112.11 , 111.60 , 106.18 , 102.66 , 33.46 , 34.98 , 39.34 , 38.15 
Capital Work in Progress, -   , 0.25 , 0.04 , -   , 0.93 , 0.84 , 0.19 , 0.19 , 4.44 , 7.84 
Investments, 7.06 , 10.39 , 6.87 , 6.87 , 6.87 , 6.87 , 46.07 , 156.07 , 156.60 , 156.92 
Other Assets, 118.18 , 135.02 , 146.83 , 160.94 , 179.06 , 218.62 , 194.89 , 87.51 , 115.55 , 102.69 
Total, 252.05 , 263.77 , 265.85 , 279.41 , 293.04 , 328.99 , 274.61 , 278.75 , 315.93 , 305.60 
,,,,,,,,,,
Working Capital, 62.03 , 75.09 , 91.09 , 91.66 , 107.95 , 154.95 , 121.00 , 30.10 , 56.75 , 54.97 
Debtors, 20.77 , 29.20 , 33.36 , 37.52 , 49.61 , 54.64 , 29.06 , 19.63 , 38.33 , 20.13 
Inventory, 15.58 , 26.16 , 32.11 , 35.15 , 36.74 , 53.02 , 14.06 , 28.13 , 25.09 , 29.75 
,,,,,,,,,,
Debtor Days, 63.79 , 64.88 , 63.29 , 68.85 , 72.37 , 66.05 , 32.58 , 38.25 , 77.06 , 47.80 
Inventory Turnover, 7.63 , 6.28 , 5.99 , 5.66 , 6.81 , 5.70 , 23.16 , 6.66 , 7.24 , 5.17 
,,,,,,,,,,
Return on Equity,-16%,11%,5%,6%,10%,12%,10%,6%,4%,2%
Return on Capital Emp,,8%,7%,8%,11%,13%,12%,10%,10%,5%
,,,,,,,,,,
