KRIDHAN INFRA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 1.40 , (4.98), 3.76 , (32.28), 24.23 , 10.88 , (4.15), (4.56), (2.03), (91.79)
Cash from Investing Activity, (4.99), 1.72 , (7.42), (3.27), (30.89), (3.12), 1.57 , 1.51 , 1.32 , (98.34)
Cash from Financing Activity, 3.55 , 3.42 , 9.32 , 35.06 , 1.64 , (8.44), 1.85 , 3.13 , 0.70 , 190.62 
Net Cash Flow, (0.04), 0.16 , 5.66 , (0.49), (5.02), (0.68), (0.74), 0.08 , (0.01), 0.49 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
