L T FOODS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 22.27 , 26.12 , 26.12 , 26.12 , 26.17 , 26.31 , 26.45 , 26.66 , 26.66 , 31.98 
Reserves, 130.45 , 172.22 , 185.53 , 190.68 , 218.95 , 251.30 , 275.53 , 301.67 , 336.79 , 748.56 
Borrowings, 462.30 , 516.26 , 725.08 , 792.37 , 900.80 , 835.73 , 960.56 , 862.78 , 884.42 , 686.27 
Other Liabilities, 138.19 , 67.85 , 103.70 , 100.80 , 131.73 , 147.09 , 162.04 , 141.88 , 123.44 , 142.32 
Total, 753.21 , 782.45 ," 1,040.43 "," 1,109.97 "," 1,277.65 "," 1,260.43 "," 1,424.58 "," 1,332.99 "," 1,371.31 "," 1,609.13 "
,,,,,,,,,,
Net Block, 89.30 , 107.21 , 131.55 , 177.90 , 172.48 , 172.01 , 181.61 , 159.04 , 162.84 , 191.18 
Capital Work in Progress, 4.66 , 12.29 , 47.03 , 3.38 , 8.11 , 9.00 , 9.84 , 17.16 , 3.76 , 2.93 
Investments, 44.40 , 39.57 , 49.34 , 56.65 , 57.74 , 59.92 , 61.96 , 62.00 , 64.51 , 87.25 
Other Assets, 614.85 , 623.38 , 812.51 , 872.04 ," 1,039.32 "," 1,019.50 "," 1,171.17 "," 1,094.79 "," 1,140.20 "," 1,327.77 "
Total, 753.21 , 782.45 ," 1,040.43 "," 1,109.97 "," 1,277.65 "," 1,260.43 "," 1,424.58 "," 1,332.99 "," 1,371.31 "," 1,609.13 "
,,,,,,,,,,
Working Capital, 476.66 , 555.53 , 708.81 , 771.24 , 907.59 , 872.41 ," 1,009.13 ", 952.91 ," 1,016.76 "," 1,185.45 "
Debtors, 117.48 , 84.70 , 185.92 , 269.40 , 274.95 , 253.81 , 191.62 , 266.51 , 325.35 , 350.17 
Inventory, 422.76 , 446.14 , 544.37 , 499.88 , 632.16 , 671.89 , 658.22 , 657.13 , 688.29 , 862.46 
,,,,,,,,,,
Debtor Days, 62.42 , 44.60 , 82.58 , 100.19 , 60.68 , 51.66 , 38.69 , 53.61 , 57.88 , 59.69 
Inventory Turnover, 1.62 , 1.55 , 1.51 , 1.96 , 2.62 , 2.67 , 2.75 , 2.76 , 2.98 , 2.48 
,,,,,,,,,,
Return on Equity,7%,13%,8%,2%,14%,14%,10%,9%,8%,5%
Return on Capital Emp,,11%,8%,8%,12%,11%,11%,11%,13%,10%
,,,,,,,,,,
