LEEL ELECTRICALS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 585.25 , 676.24 , 781.87 ," 1,046.91 "," 1,160.03 "," 1,414.80 "," 1,810.79 "," 2,335.65 "," 2,977.31 "," 1,950.80 "," 1,422.09 "," 1,999.84 "," 1,565.38 "
Expenses, 537.72 , 605.89 , 698.90 , 941.72 ," 1,020.07 "," 1,236.96 "," 1,585.53 "," 2,072.83 "," 2,705.46 "," 1,845.57 "," 1,370.65 "," 1,823.66 "," 1,508.76 "
Operating Profit, 47.53 , 70.35 , 82.97 , 105.19 , 139.96 , 177.84 , 225.26 , 262.82 , 271.85 , 105.23 , 51.44 , 176.18 , 56.62 
Other Income, 2.56 , 2.77 , 1.23 , 1.52 , 5.92 , 11.74 , 4.57 , (44.85), 1.98 , 685.97 , (246.99), -   , -   
Depreciation, 10.85 , 12.00 , 15.04 , 21.29 , 22.26 , 23.79 , 33.96 , 33.20 , 35.97 , 33.35 , 34.18 , 34.18 , 34.18 
Interest, 14.47 , 15.84 , 20.50 , 32.40 , 50.75 , 84.02 , 92.85 , 105.30 , 118.89 , 66.55 , 67.05 , 67.05 , 67.05 
Profit before tax, 24.77 , 45.28 , 48.66 , 53.02 , 72.87 , 81.77 , 103.02 , 79.47 , 118.97 , 691.30 , (296.78), 74.95 , (44.61)
Tax, 4.40 , 10.90 , 12.60 , 13.69 , 16.72 , 5.68 , 21.38 , 23.65 , 33.83 , 169.07 , (60.43),0%,0%
Net profit, 20.37 , 34.38 , 36.06 , 39.33 , 56.15 , 76.09 , 81.64 , 55.82 , 85.14 , 522.23 , (236.35), 74.95 , (44.61)
EPS, 6.57 , 11.09 , 11.63 , 12.69 , 18.11 , 21.53 , 23.11 , 15.41 , 21.10 , 129.44 , (58.61), 18.58 , (11.06)
Price to earning, 3.94 , 6.84 , 5.52 , 3.55 , 2.23 , 2.94 , 9.27 , 17.12 , 11.85 , 1.86 , -   , 10.28 , -   
Price, 25.88 , 75.80 , 64.16 , 45.02 , 40.41 , 63.27 , 214.30 , 263.79 , 250.16 , 241.08 , 9.80 , 191.00 , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,9.02%,12.90%,7.88%,5.52%,4.64%,5.62%,8.44%,101.87%,15.45%,,,
OPM,8.12%,10.40%,10.61%,10.05%,12.07%,12.57%,12.44%,11.25%,9.13%,5.39%,3.62%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,14.31%,13.95%,10.96%,2.51%,-27.10%,2.51%,-27.10%
,,,,,,OPM,10.10%,10.15%,9.94%,8.81%,3.62%,8.81%,3.62%
,,,,,,Price to Earning, 6.51 , 6.98 , 8.61 , 10.28 , -   , 10.28 , -   
