LIC HOUSING FINANCE LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity," (4,909.16)"," (9,502.09)"," (10,453.60)"," (11,608.10)"," (12,585.51)"," (11,502.56)"," (14,353.93)"," (13,035.90)"," (14,278.99)"," (19,543.92)"
Cash from Investing Activity, (297.51), (222.25), 102.52 , (35.18), (27.06), (20.63), (51.29), (60.87), (283.01), (468.23)
Cash from Financing Activity," 4,978.06 "," 9,856.05 "," 10,238.01 "," 11,541.88 "," 12,466.40 "," 13,048.14 "," 14,231.45 "," 14,097.81 "," 15,073.10 "," 18,616.14 "
Net Cash Flow, (228.61), 131.71 , (113.07), (101.40), (146.17)," 1,524.95 ", (173.77)," 1,001.04 ", 511.10 ," (1,396.01)"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
