LA OPALA RG LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (3.74), 14.07 , 15.80 , 14.33 , 31.11 , 39.27 , 46.69 , 61.02 , 71.78 , 80.24 
Cash from Investing Activity, (1.53), (3.47), (2.07), (4.68), (28.86), (8.11), (97.33), (49.15), (51.68), (68.73)
Cash from Financing Activity, 4.60 , (9.89), (14.28), (9.78), (1.85), (22.87), 41.94 , (11.39), (19.25), (10.47)
Net Cash Flow, (0.67), 0.71 , (0.55), (0.13), 0.40 , 8.29 , (8.70), 0.49 , 0.85 , 1.04 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
