LA OPALA RG LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 60.33 , 73.20 , 95.76 , 114.09 , 152.62 , 175.91 , 221.69 , 247.85 , 235.25 , 259.29 , 278.10 , 285.79 , 274.20 
Expenses, 51.46 , 61.45 , 74.45 , 87.16 , 108.83 , 126.40 , 155.68 , 161.38 , 146.33 , 149.90 , 165.74 , 170.32 , 188.23 
Operating Profit, 8.87 , 11.75 , 21.31 , 26.93 , 43.79 , 49.51 , 66.01 , 86.47 , 88.92 , 109.39 , 112.36 , 115.47 , 85.97 
Other Income, 1.59 , 1.06 , 0.09 , -   , (1.59), 1.04 , 0.85 , 1.40 , 10.85 , 10.67 , 17.40 , -   , -   
Depreciation, 4.63 , 4.28 , 4.50 , 4.59 , 5.56 , 7.01 , 10.30 , 8.98 , 12.44 , 13.78 , 16.46 , 16.46 , 16.46 
Interest, 4.13 , 4.05 , 3.52 , 4.07 , 4.19 , 3.28 , 0.84 , 0.98 , 1.34 , 0.84 , 0.68 , 0.68 , 0.68 
Profit before tax, 1.70 , 4.48 , 13.38 , 18.27 , 32.46 , 40.76 , 55.75 , 77.92 , 85.99 , 105.46 , 112.62 , 98.33 , 68.83 
Tax, 0.89 , 1.71 , 4.06 , 5.67 , 9.58 , 10.81 , 14.02 , 19.21 , 23.81 , 32.03 , 38.58 ,34%,34%
Net profit, 0.81 , 2.77 , 9.32 , 12.60 , 22.88 , 29.95 , 41.74 , 58.71 , 62.19 , 73.44 , 74.04 , 64.64 , 45.25 
EPS, 0.07 , 0.26 , 0.86 , 1.16 , 2.11 , 2.76 , 3.76 , 5.29 , 5.60 , 6.62 , 6.67 , 5.82 , 4.08 
Price to earning, 22.14 , 17.38 , 8.55 , 9.66 , 15.62 , 27.65 , 56.75 , 56.03 , 47.64 , 43.32 , 30.88 , 44.47 , 30.51 
Price, 1.65 , 4.44 , 7.35 , 11.22 , 32.95 , 76.34 , 213.39 , 296.33 , 266.90 , 286.62 , 206.00 , 258.96 , 124.39 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,28.88%,17.06%,16.83%,16.22%,17.70%,17.27%,17.02%,17.85%,16.63%,,,
OPM,14.70%,16.05%,22.25%,23.60%,28.69%,28.15%,29.78%,34.89%,37.80%,42.19%,40.40%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,17.59%,15.29%,11.18%,5.36%,10.22%,10.22%,5.36%
,,,,,,OPM,31.35%,33.48%,35.11%,38.36%,40.40%,40.40%,31.35%
,,,,,,Price to Earning, 30.51 , 35.94 , 43.71 , 44.47 , 30.88 , 44.47 , 30.51 
