LAKSHMI FINANCE & INDUSTRIAL CORPORATION LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (0.77), 0.13 , (1.77), (0.27), (1.50), (0.10), (1.09), (3.04), (1.10), (3.96)
Cash from Investing Activity, 0.74 , 1.75 , 2.11 , 0.43 , 2.59 , 3.14 , 2.09 , 2.88 , 0.17 , 8.64 
Cash from Financing Activity, (0.71), (0.42), (0.66), (0.68), (0.43), (0.43), (0.56), (0.87), (0.95), (1.01)
Net Cash Flow, (0.74), 1.46 , (0.32), (0.52), 0.66 , 2.61 , 0.45 , (1.04), (1.89), 3.67 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
