LAKSHMI ENERGY & FOODS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Sep-08,Sep-09,Sep-10,Sep-11,Sep-12,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (58.39), 15.42 , (175.56), (11.62), 166.79 , 135.20 , 23.08 , (146.66), (12.74), (618.72)
Cash from Investing Activity, (229.80), (30.72), (27.54), (29.32), (21.34), (14.16), (3.55), (5.23), (2.61), 578.21 
Cash from Financing Activity, 235.34 , 41.09 , 234.92 , (21.05), (142.94), (121.17), (21.33), 151.38 , 16.78 , 39.23 
Net Cash Flow, (52.85), 25.79 , 31.82 , (61.99), 2.51 , (0.13), (1.81), (0.51), 1.44 , (1.29)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
