LAMBODHARA TEXTILES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 47.96 , 50.25 , 75.52 , 75.64 , 97.81 , 112.09 , 133.30 , 118.79 , 130.75 , 166.73 , 181.06 , 212.61 , 180.75 
Expenses, 43.71 , 45.11 , 66.87 , 65.97 , 81.49 , 96.71 , 114.47 , 101.03 , 113.04 , 146.29 , 163.85 , 184.05 , 163.57 
Operating Profit, 4.25 , 5.14 , 8.65 , 9.67 , 16.32 , 15.38 , 18.83 , 17.76 , 17.71 , 20.44 , 17.21 , 28.56 , 17.18 
Other Income, 0.79 , 0.02 , 0.15 , 0.08 , (0.25), 0.48 , 0.22 , 0.34 , 0.38 , 0.60 , 0.96 , -   , -   
Depreciation, 1.42 , 1.81 , 2.46 , 3.41 , 4.55 , 5.42 , 6.05 , 5.98 , 6.08 , 6.02 , 6.06 , 6.06 , 6.06 
Interest, 2.35 , 2.14 , 2.82 , 4.79 , 6.33 , 6.33 , 7.04 , 5.49 , 2.77 , 6.63 , 3.81 , 3.81 , 3.81 
Profit before tax, 1.29 , 1.27 , 3.52 , 1.55 , 5.19 , 4.11 , 5.97 , 6.62 , 9.25 , 8.38 , 8.30 , 18.69 , 7.31 
Tax, 0.17 , 0.50 , 1.09 , 2.22 , 1.99 , 0.58 , 0.82 , 2.12 , 2.25 , 2.43 , 2.50 ,30%,30%
Net profit, 1.12 , 0.77 , 2.43 , (0.67), 3.21 , 3.54 , 5.15 , 4.50 , 7.00 , 5.95 , 5.80 , 13.06 , 5.11 
EPS, 1.28 , 0.88 , 2.77 , (0.76), 3.66 , 4.04 , 5.67 , 4.96 , 7.71 , 6.21 , 6.06 , 13.63 , 5.33 
Price to earning, 4.54 , 8.41 , 3.70 , (37.19), 12.62 , 16.26 , 14.66 , 26.67 , 10.18 , 12.13 , 8.05 , 14.26 , 8.05 
Price, 5.81 , 7.39 , 10.27 , 28.45 , 46.25 , 65.72 , 83.19 , 132.19 , 78.54 , 75.34 , 48.75 , 194.38 , 42.94 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,57.14%,19.34%,0.00%,13.71%,12.43%,13.20%,15.11%,13.00%,16.13%,,,
OPM,8.86%,10.23%,11.45%,12.78%,16.69%,13.72%,14.13%,14.95%,13.54%,12.26%,9.51%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,14.85%,11.98%,11.26%,7.74%,27.52%,27.52%,7.74%
,,,,,,OPM,13.30%,13.90%,13.62%,13.43%,9.51%,13.43%,9.51%
,,,,,,Price to Earning, 11.72 , 14.37 , 14.66 , 14.26 , 8.05 , 14.26 , 8.05 
