LANDMARK PROPERTY DEVELOPMENT COMPANY LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 13.41 , 13.41 , 13.41 , 13.41 , 13.41 , 13.41 , 13.41 , 13.41 , 13.41 , 13.41 
Reserves, 40.67 , 41.18 , 42.08 , 42.76 , 42.78 , 44.29 , 45.42 , 46.28 , 47.13 , 47.67 
Borrowings, 0.03 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Liabilities, 0.11 , 0.17 , 0.15 , 0.29 , 1.32 , 4.02 , 3.38 , 3.40 , 1.95 , 1.80 
Total, 54.22 , 54.76 , 55.64 , 56.46 , 57.51 , 61.72 , 62.21 , 63.09 , 62.49 , 62.88 
,,,,,,,,,,
Net Block, 0.02 , 0.06 , 0.02 , 0.02 , 0.02 , 0.01 , 0.01 , 0.01 , 0.01 , 0.02 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, -   , -   , -   , 3.29 , 4.95 , 7.95 , 8.56 , 10.52 , 9.21 , 0.87 
Other Assets, 54.20 , 54.70 , 55.62 , 53.15 , 52.54 , 53.76 , 53.64 , 52.56 , 53.27 , 61.99 
Total, 54.22 , 54.76 , 55.64 , 56.46 , 57.51 , 61.72 , 62.21 , 63.09 , 62.49 , 62.88 
,,,,,,,,,,
Working Capital, 54.09 , 54.53 , 55.47 , 52.86 , 51.22 , 49.74 , 50.26 , 49.16 , 51.32 , 60.19 
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , 0.58 , -   
Inventory, -   , -   , -   , -   , -   , 14.47 , 13.66 , 13.66 , 13.66 , 13.66 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , 83.68 , -   
Inventory Turnover, -   , -   , -   , -   , -   , 0.25 , 0.28 , 0.19 , 0.19 , 0.13 
,,,,,,,,,,
Return on Equity,3%,1%,2%,1%,1%,5%,2%,1%,1%,1%
Return on Capital Emp,,1%,2%,2%,2%,7%,3%,2%,2%,1%
,,,,,,,,,,
