LANDMARK PROPERTY DEVELOPMENT COMPANY LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 12.40 , 0.63 , 0.73 , 0.51 , 0.77 , 2.58 , 1.60 , 0.30 , (1.95), 0.06 
Cash from Investing Activity, (19.41), 0.05 , 0.18 , (3.03), (1.35), (0.63), 0.11 , (1.32), 2.00 , (0.07)
Cash from Financing Activity, (0.11), (0.04), (0.02), -   , -   , (0.78), (1.10), -   , -   , -   
Net Cash Flow, (7.12), 0.64 , 0.89 , (2.52), (0.58), 1.17 , 0.61 , (1.02), 0.05 , (0.01)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
