LASA SUPERGENERICS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , -   , 0.05 , 0.05 , 22.86 
Reserves, -   , -   , -   , -   , -   , -   , -   , -   , 75.44 , 94.48 
Borrowings, -   , -   , -   , -   , -   , -   , -   , 0.35 , 115.78 , 106.66 
Other Liabilities, -   , -   , -   , -   , -   , -   , -   , -   , 44.88 , 79.50 
Total, -   , -   , -   , -   , -   , -   , -   , 0.40 , 236.15 , 303.50 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , -   , 118.83 , 169.64 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , 29.51 , 7.24 
Investments, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Assets, -   , -   , -   , -   , -   , -   , -   , 0.40 , 87.81 , 126.62 
Total, -   , -   , -   , -   , -   , -   , -   , 0.40 , 236.15 , 303.50 
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , -   , 0.40 , 42.93 , 47.12 
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , 34.97 , 42.15 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , 33.46 , 42.23 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , 64.22 , 63.17 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , 5.94 , 5.77 
,,,,,,,,,,
Return on Equity,,,,,,,,0%,3%,11%
Return on Capital Emp,,,,,,,,0%,14%,13%
,,,,,,,,,,
