LASA SUPERGENERICS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , -   , 198.75 , 243.53 , 169.56 , 298.40 , 281.73 
Expenses, -   , -   , -   , -   , -   , -   , -   , -   , 153.21 , 202.26 , 158.44 , 239.83 , 263.26 
Operating Profit, -   , -   , -   , -   , -   , -   , -   , -   , 45.54 , 41.27 , 11.12 , 58.57 , 18.48 
Other Income, -   , -   , -   , -   , -   , -   , -   , -   , (24.04), 3.49 , 4.11 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , -   , 7.69 , 18.17 , 19.30 , 19.30 , 19.30 
Interest, -   , -   , -   , -   , -   , -   , -   , -   , 11.68 , 11.35 , 12.03 , 12.03 , 12.03 
Profit before tax, -   , -   , -   , -   , -   , -   , -   , -   , 2.14 , 15.23 , (16.10), 27.24 , (12.85)
Tax, -   , -   , -   , -   , -   , -   , -   , -   , (0.22), 2.89 , (4.07),0%,0%
Net profit, -   , -   , -   , -   , -   , -   , -   , -   , 2.36 , 12.34 , (12.04), 27.24 , (12.85)
EPS, -   , -   , -   , -   , -   , -   , -   , -   , 472.00 , 5.40 , (5.27), 11.92 , (5.62)
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , 17.32 , -   , 17.32 , -   
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , 93.50 , 21.95 , 206.42 , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,22.91%,16.95%,6.56%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,22.53%,22.53%,22.53%
,,,,,,OPM,19.63%,19.63%,19.63%,19.63%,6.56%,19.63%,6.56%
,,,,,,Price to Earning, 17.32 , 17.32 , 17.32 , 17.32 , -   , 17.32 , -   
