LEMON TREE HOTELS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , 37.33 , 44.65 , 71.85 , 50.98 
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , (16.64), (21.89), (17.18), (27.08)
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , (46.78), (21.88), (54.11), (23.85)
Net Cash Flow, -   , -   , -   , -   , -   , -   , (26.09), 0.88 , 0.57 , 0.05 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
