LLOYDS STEELS INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , 0.05 , 89.87 , 89.87 , 89.87 
Reserves, -   , -   , -   , -   , -   , -   , 91.36 , 3.14 , 14.98 , 16.98 
Borrowings, -   , -   , -   , -   , -   , -   , 0.61 , 0.34 , -   , -   
Other Liabilities, -   , -   , -   , -   , -   , -   , 833.53 , 475.32 , 451.37 , 404.77 
Total, -   , -   , -   , -   , -   , -   , 925.55 , 568.67 , 556.22 , 511.62 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , 12.11 , 12.57 , 11.52 , 11.40 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Assets, -   , -   , -   , -   , -   , -   , 913.44 , 556.10 , 544.70 , 500.22 
Total, -   , -   , -   , -   , -   , -   , 925.55 , 568.67 , 556.22 , 511.62 
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , 79.91 , 80.78 , 93.33 , 95.45 
Debtors, -   , -   , -   , -   , -   , -   , 287.24 , 328.62 , 295.49 , 167.99 
Inventory, -   , -   , -   , -   , -   , -   , 68.99 , 57.49 , 31.74 , 10.47 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , 205.39 ," 1,027.91 "," 1,416.33 ", 502.68 
Inventory Turnover, -   , -   , -   , -   , -   , -   , 7.40 , 2.03 , 2.40 , 11.65 
,,,,,,,,,,
Return on Equity,,,,,,,3%,1%,1%,2%
Return on Capital Emp,,,,,,,55%,5%,1%,3%
,,,,,,,,,,
