LLOYDS STEELS INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , 15.34 , 0.56 , (3.77), (4.41)
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , 10.62 , 0.30 , 3.23 , 4.83 
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , (22.51), (4.36), (0.31), (0.29)
Net Cash Flow, -   , -   , -   , -   , -   , -   , 3.45 , (3.50), (0.85), 0.13 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
